crash_id,vehicle_type
20223038,heavy_rigid_truck
20222123,heavy_rigid_truck
20222132,heavy_rigid_truck
20223259,heavy_rigid_truck
20222060,heavy_rigid_truck
20221039,heavy_rigid_truck
20221003,heavy_rigid_truck
20223262,heavy_rigid_truck
20226037,heavy_rigid_truck
20221030,heavy_rigid_truck
20222092,heavy_rigid_truck
20223212,heavy_rigid_truck
20223048,heavy_rigid_truck
20221171,heavy_rigid_truck
20222055,heavy_rigid_truck
20222096,heavy_rigid_truck
20223083,heavy_rigid_truck
20222025,heavy_rigid_truck
20222099,heavy_rigid_truck
20222038,heavy_rigid_truck
20221124,heavy_rigid_truck
20221027,heavy_rigid_truck
20224045,heavy_rigid_truck
20222173,heavy_rigid_truck
20226018,heavy_rigid_truck
20221072,heavy_rigid_truck
20221076,heavy_rigid_truck
20223245,heavy_rigid_truck
20223200,heavy_rigid_truck
20222134,heavy_rigid_truck
20221172,heavy_rigid_truck
20221038,heavy_rigid_truck
20223007,heavy_rigid_truck
20223161,heavy_rigid_truck
20221142,heavy_rigid_truck
20223231,heavy_rigid_truck
20222039,heavy_rigid_truck
20221041,heavy_rigid_truck
20222116,heavy_rigid_truck
20221254,heavy_rigid_truck
20222007,heavy_rigid_truck
20226033,heavy_rigid_truck
20224048,heavy_rigid_truck
20223142,heavy_rigid_truck
20221154,heavy_rigid_truck
20212026,heavy_rigid_truck
20211133,heavy_rigid_truck
20215057,heavy_rigid_truck
20215150,heavy_rigid_truck
20211086,heavy_rigid_truck
20211242,heavy_rigid_truck
20211146,heavy_rigid_truck
20211025,heavy_rigid_truck
20213175,heavy_rigid_truck
20213154,heavy_rigid_truck
20211205,heavy_rigid_truck
20212113,heavy_rigid_truck
20211013,heavy_rigid_truck
20211085,heavy_rigid_truck
20212160,heavy_rigid_truck
20212034,heavy_rigid_truck
20211101,heavy_rigid_truck
20212011,heavy_rigid_truck
20212156,heavy_rigid_truck
20212056,heavy_rigid_truck
20211078,heavy_rigid_truck
20211152,heavy_rigid_truck
20211106,heavy_rigid_truck
20214059,heavy_rigid_truck
20213130,heavy_rigid_truck
20213165,heavy_rigid_truck
20214086,heavy_rigid_truck
20215089,heavy_rigid_truck
20215030,heavy_rigid_truck
20211029,heavy_rigid_truck
20214017,heavy_rigid_truck
20212071,heavy_rigid_truck
20211220,heavy_rigid_truck
20216033,heavy_rigid_truck
20213196,heavy_rigid_truck
20212074,heavy_rigid_truck
20215110,heavy_rigid_truck
20212210,heavy_rigid_truck
20211088,heavy_rigid_truck
20215005,heavy_rigid_truck
20217028,heavy_rigid_truck
20212022,heavy_rigid_truck
20213034,heavy_rigid_truck
20212099,heavy_rigid_truck
20211036,heavy_rigid_truck
20212166,heavy_rigid_truck
20215090,heavy_rigid_truck
20212091,heavy_rigid_truck
20216002,heavy_rigid_truck
20211005,heavy_rigid_truck
20211188,heavy_rigid_truck
20211137,heavy_rigid_truck
20211060,heavy_rigid_truck
20211149,heavy_rigid_truck
20212062,heavy_rigid_truck
20212139,heavy_rigid_truck
20215129,heavy_rigid_truck
20213011,heavy_rigid_truck
20211141,heavy_rigid_truck
20211032,heavy_rigid_truck
20211102,heavy_rigid_truck
20213184,heavy_rigid_truck
20212202,heavy_rigid_truck
20216007,heavy_rigid_truck
20203097,heavy_rigid_truck
20201118,heavy_rigid_truck
20201202,heavy_rigid_truck
20201058,heavy_rigid_truck
20201110,heavy_rigid_truck
20203015,heavy_rigid_truck
20201073,heavy_rigid_truck
20202131,heavy_rigid_truck
20201237,heavy_rigid_truck
20201045,heavy_rigid_truck
20204012,heavy_rigid_truck
20203068,heavy_rigid_truck
20202037,heavy_rigid_truck
20201121,heavy_rigid_truck
20205135,heavy_rigid_truck
20205102,heavy_rigid_truck
20201114,heavy_rigid_truck
20201262,heavy_rigid_truck
20204071,heavy_rigid_truck
20205027,heavy_rigid_truck
20205074,heavy_rigid_truck
20203236,heavy_rigid_truck
20201138,heavy_rigid_truck
20201016,heavy_rigid_truck
20202023,heavy_rigid_truck
20201159,heavy_rigid_truck
20201063,heavy_rigid_truck
20202050,heavy_rigid_truck
20203225,heavy_rigid_truck
20206015,heavy_rigid_truck
20205032,heavy_rigid_truck
20204075,heavy_rigid_truck
20204085,heavy_rigid_truck
