crash_id,year,month,day_of_week,christmas_period,easter_period,weekday_or_weekend,date_id
20241188,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20243191,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20241256,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20242019,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20243008,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20243001,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20243041,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20244021,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20243113,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20241107,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20243022,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20248002,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20242088,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20241173,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20241004,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20246004,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20241201,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20241029,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20243005,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20241261,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20244024,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20241215,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20243186,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20243208,2024,11,Sunday,No,No,Weekend,2024-11-Sunday
20241134,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20243040,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20241263,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20241302,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20241147,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20243248,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20243096,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20241150,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20241247,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20241234,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20242110,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20242052,2024,11,Thursday,No,No,Weekday,2024-11-Thursday
20243247,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20243144,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20241235,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20243087,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20244061,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20241009,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20241072,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20243129,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20242219,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20241219,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20244010,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
20244040,2024,11,Tuesday,No,No,Weekday,2024-11-Tuesday
