crash_id,time_id
20241115,0
20241125,1
20246013,2
20241002,3
20243185,4
20244016,5
20243168,6
20246003,7
20246001,8
20244081,9
20241087,10
20241054,11
20244042,12
20243246,13
20241101,14
20241216,15
20241300,16
20243007,17
20241278,18
20241149,19
20241068,20
20243273,21
20244020,22
20244055,23
20241094,24
20243160,25
20243209,25
20244001,26
20243243,27
20246016,28
20241119,29
20241169,30
20241291,31
20243036,32
20244026,33
20241077,34
20241028,35
20241022,36
20243015,37
20244023,38
20241098,39
20243114,40
20241040,41
20241174,42
20241088,43
20241255,44
20241053,45
20243046,46
20241080,47
20243044,48
20241274,49
20243176,50
20241181,51
20243110,52
20244044,53
20243147,54
20244019,55
20241194,56
20241139,57
20241197,58
20243220,59
20243267,60
20241057,61
20243174,62
20241166,63
20243213,64
20241096,65
20242089,66
20243073,67
20241027,68
20241163,69
20243143,70
20241222,71
20241218,72
20243249,73
20243098,74
20241306,75
20243037,76
20244083,77
20241196,78
20244028,79
20243038,80
20242023,81
20242230,82
20242127,83
20242120,84
20241106,85
20241230,86
20241055,87
20241267,88
20242260,89
20242057,90
20243153,91
20242161,92
20241236,93
20243172,93
20241188,94
20243191,95
20241256,96
20242019,97
20243008,98
20243001,99
20243041,99
20244021,100
20243113,101
20241107,102
20243022,103
20248002,104
20242088,105
20241173,106
20241004,107
20246004,108
20241201,109
20241029,110
20243005,111
20241261,112
20244024,113
20241215,114
20243186,115
20243208,116
20241134,117
20243040,118
20241263,119
20241302,120
20241147,121
20243248,122
20243096,122
20241150,123
20241247,124
20241234,125
20242110,126
20242052,127
20243247,128
20243144,129
20241235,130
20243087,131
20244061,132
20241009,133
20241072,134
20243129,134
20242219,135
20241219,136
20244010,137
20244040,138
20243171,139
20242075,140
20243079,141
20241045,142
20243017,143
20241160,144
20241081,145
20241135,146
20241209,147
20242140,148
20242142,149
20243107,150
20243020,151
20241151,152
20243158,153
20241286,154
20243102,155
20241303,156
20246029,157
20248005,158
20244018,159
20241060,160
20242022,161
20241037,162
20241257,163
20241128,164
20243089,165
20242181,166
20243082,167
20243150,168
20243170,169
20243239,169
20242040,170
20243084,171
20241030,172
20243127,173
20243003,174
20243266,175
20241042,176
20243121,177
20241175,178
20243072,179
20244057,180
20241091,181
20243201,182
20242135,183
20243225,184
20241167,185
20244060,186
20241268,186
20244013,187
20243235,188
20244059,189
20241266,190
20243131,191
20242080,192
20241287,193
20241152,194
20243161,195
20242042,196
20243210,197
20244025,198
20243088,199
20241211,200
20242007,201
20241204,202
20244062,203
20241137,204
20243117,205
20242081,206
20243206,207
20248003,208
20244032,209
20241153,210
20242138,211
20243198,212
20242107,213
20243080,214
20242204,215
20242139,216
20241103,217
20242129,218
20244027,219
20243006,220
20243108,221
20243212,222
20241237,223
20241052,224
20241308,225
20246027,226
20244072,227
20241195,228
20244043,229
20241102,230
20243194,231
20243070,232
20243165,233
20241063,234
20241132,235
20241292,236
20241189,237
20241233,238
20242115,239
20242167,240
20241016,241
20243234,242
20246025,242
20241220,243
20241034,244
20242012,245
20243009,246
20241269,247
20242093,248
20242176,249
20242255,250
20241066,251
20242175,252
20243207,253
20242029,254
20241246,255
20241078,256
20243064,257
20241013,258
20246019,259
20242257,260
20241138,261
20244014,262
20244069,263
20242053,263
20243111,264
20243067,265
20242186,266
20242250,267
20243167,268
20243106,269
20242098,270
20241179,271
20242070,272
20243261,273
20243227,274
20242243,275
20242102,276
20241109,277
20243187,278
20241301,279
20243135,280
20241248,281
20243268,282
20242071,283
20241020,284
20241294,285
20241304,286
20242123,287
20242144,288
20241199,289
20243066,290
20243233,291
20243203,291
20242209,292
20242056,293
20242130,294
20243109,295
20243010,296
20243181,297
20246018,298
20241071,299
20241186,300
20243078,301
20241223,302
20241221,303
20241143,304
20243242,305
20242189,306
20242170,307
20243043,308
20241140,309
20244063,310
20241131,311
20242172,312
20241111,313
20242055,314
20241017,315
20244067,316
20246024,317
20241254,318
20243011,319
20246011,320
20242177,321
20241127,322
20241210,323
20242132,324
20242184,325
20241253,326
20243024,326
20242224,327
20243031,328
20242069,329
20243156,330
20242251,331
20244034,332
20242090,333
20243231,334
20242194,335
20243142,336
20242043,337
20243124,338
20244007,339
20242060,340
20243104,341
20244041,342
20246026,343
20243021,344
20242155,345
20242032,346
20241285,347
20244066,348
20242064,349
20242164,350
20244035,351
20243018,352
20242086,353
20243217,354
20243251,355
20243058,356
20244046,357
20243085,358
20244039,359
20243240,360
20246002,361
20242099,362
20243063,363
20241176,363
20247022,364
20241086,365
20241224,366
20241265,367
20241202,368
20246023,369
20241293,370
20241299,371
20244078,372
20243164,373
20242201,374
20241307,375
20242074,376
20241243,377
20247034,378
20241260,379
20243004,380
20246014,381
20242024,382
20243169,383
20243081,383
20242169,384
20241110,385
20241082,386
20241159,387
20246022,388
20241229,389
20242026,390
20242268,391
20242238,392
20242122,393
20241046,394
20243192,395
20241032,396
20241031,397
20243254,398
20243133,398
20241203,399
20243118,400
20243173,401
20243199,402
20244003,403
20241298,404
20242112,405
20243092,406
20243042,407
20244005,408
20243178,409
20244050,410
20241208,411
20242259,412
20242212,413
20243019,414
20241036,415
20242226,416
20247007,417
20243074,418
20241003,419
20241277,420
20241249,421
20242020,422
20242108,423
20243120,424
20242187,425
20243116,426
20242133,427
20241092,428
20242121,429
20243214,430
20241118,431
20243157,432
20241190,433
20241097,434
20242265,435
20241250,436
20242200,437
20242234,438
20242048,439
20242003,440
20243252,441
20243061,441
20242162,442
20244071,443
20241047,444
20241205,445
20241024,446
20242096,447
20242240,448
20243139,449
20243075,450
20244051,451
20241070,452
20244079,452
20243051,453
20242237,454
20243148,455
20242157,456
20244022,457
20241142,458
20241124,459
20241010,460
20241252,461
20243155,462
20243163,463
20243269,464
20243056,465
20243049,466
20243103,467
20242233,468
20243014,469
20241198,470
20242249,471
20243154,472
20241100,473
20241074,474
20243263,475
20242016,475
20244017,476
20244009,477
20242085,478
20244012,479
20243205,480
20241035,481
20241161,482
20241062,483
20243119,484
20241155,485
20243152,486
20243053,487
20241039,487
20242154,488
20243215,489
20243026,490
20241050,491
20243271,492
20241133,493
20248008,494
20244037,495
20242143,496
20241273,497
20242067,498
20242214,499
20243238,500
20242011,501
20241180,502
20241059,503
20241021,504
20242254,505
20243256,506
20241245,506
20243126,507
20244082,508
20241108,509
20242137,510
20241005,511
20241051,512
20243128,513
20242109,514
20241116,515
20243226,516
20242092,517
20242125,518
20244077,519
20242049,520
20243265,521
20243122,522
20243151,523
20241283,524
