crash_id,person_id
20243208,20243208_Pedestrian_Male_35_26_to_39
20241134,20241134_Pedestrian_Male_28_26_to_39
20243040,20243040_Driver_Male_45_40_to_64
20243040,20243040_Passenger_Male_30_26_to_39
20241263,20241263_Driver_Male_70_65_to_74
20241302,20241302_Pedestrian_Female_31_26_to_39
20241147,20241147_Driver_Male_62_40_to_64
20243248,20243248_Driver_Female_69_65_to_74
20243096,20243096_Pedestrian_Female_83_75_or_older
20241150,20241150_Driver_Female_51_40_to_64
20241247,20241247_Driver_Male_37_26_to_39
20241234,20241234_Passenger_Male_66_65_to_74
20242110,20242110_Driver_Male_76_75_or_older
20242052,20242052_Motorcycle rider_Male_55_40_to_64
20243247,20243247_Driver_Male_31_26_to_39
20243144,20243144_Driver_Male_60_40_to_64
20241235,20241235_Driver_Male_56_40_to_64
20243087,20243087_Driver_Female_55_40_to_64
20243087,20243087_Passenger_Male_82_75_or_older
20244061,20244061_Pedal cyclist_Male_43_40_to_64
20241009,20241009_Driver_Male_66_65_to_74
20241072,20241072_Pedestrian_Female_21_17_to_25
20243129,20243129_Driver_Male_56_40_to_64
20242219,20242219_Driver_Male_29_26_to_39
20241219,20241219_Driver_Female_75_75_or_older
20244010,20244010_Driver_Male_53_40_to_64
20244040,20244040_Motorcycle rider_Male_32_26_to_39
20243171,20243171_Driver_Female_31_26_to_39
20242075,20242075_Driver_Male_42_40_to_64
20243079,20243079_Driver_Female_40_40_to_64
20241045,20241045_Driver_Male_56_40_to_64
20243017,20243017_Passenger_Female_40_40_to_64
20243017,20243017_Passenger_Male_13_0_to_16
20241160,20241160_Motorcycle rider_Male_64_40_to_64
20241081,20241081_Driver_Female_24_17_to_25
20241135,20241135_Driver_Male_27_26_to_39
20241209,20241209_Passenger_Male_37_26_to_39
20242140,20242140_Pedestrian_Male_81_75_or_older
20242140,20242140_Pedestrian_Female_80_75_or_older
20242142,20242142_Driver_Female_21_17_to_25
20243107,20243107_Motorcycle rider_Male_39_26_to_39
20243020,20243020_Pedestrian_Male_27_26_to_39
20241151,20241151_Motorcycle rider_Male_54_40_to_64
20243158,20243158_Driver_Female_17_17_to_25
20241286,20241286_Passenger_Female_76_75_or_older
20243102,20243102_Motorcycle rider_Male_19_17_to_25
20241303,20241303_Motorcycle rider_Female_55_40_to_64
20246029,20246029_Driver_Female_44_40_to_64
20248005,20248005_Motorcycle rider_Male_28_26_to_39
20244018,20244018_Pedestrian_Male_91_75_or_older
