crashID,dayType,timeOfDay
20243064,Weekend,Night
20241013,Weekend,Night
20246019,Weekend,Night
20242257,Weekend,Day
20241138,Weekend,Day
20244014,Weekend,Day
20244069,Weekend,Day
20242053,Weekend,Day
20243111,Weekend,Day
20243067,Weekend,Night
20242186,Weekend,Night
20242250,Weekend,Night
20243167,Weekday,Night
20243106,Weekday,Night
20242098,Weekday,Night
20241179,Weekday,Day
20242070,Weekday,Day
20243261,Weekday,Day
20243227,Weekday,Day
20242243,Weekday,Day
20242102,Weekday,Day
20241109,Weekday,Night
20243187,Weekday,Night
20241301,Weekday,Day
20243135,Weekday,Day
20241248,Weekday,Day
20243268,Weekday,Day
20242071,Weekday,Day
20241020,Weekday,Day
20241294,Weekday,Day
20241304,Weekday,Day
20242123,Weekday,Night
20242144,Weekday,Night
20241199,Weekday,Night
20243066,Weekday,Night
20243233,Weekday,Night
20243203,Weekday,Night
20242209,Weekday,Day
20242056,Weekday,Day
20242130,Weekday,Day
20243109,Weekday,Day
20243010,Weekday,Day
20243181,Weekday,Day
20246018,Weekday,Day
20241071,Weekday,Day
20241186,Weekday,Day
20243078,Weekend,Night
20241223,Weekend,Night
20241221,Weekend,Night
20241143,Weekend,Night
20243242,Weekend,Night
20242189,Weekend,Night
20242170,Weekend,Night
20243043,Weekday,Day
20241140,Weekday,Day
20244063,Weekday,Day
20241131,Weekday,Day
20242172,Weekday,Day
20241111,Weekday,Day
20242055,Weekday,Day
20241017,Weekday,Day
20244067,Weekday,Night
20246024,Weekend,Night
20241254,Weekend,Night
20243011,Weekend,Day
20246011,Weekend,Day
20242177,Weekend,Day
20241127,Weekend,Day
20241210,Weekend,Day
20242132,Weekend,Night
20242184,Weekend,Night
20241253,Weekend,Night
20243024,Weekend,Night
20242224,Weekend,Night
20243031,Weekend,Night
20242069,Weekend,Night
20243156,Weekend,Night
20242251,Weekend,Day
20244034,Weekend,Day
20242090,Weekend,Day
20243231,Weekend,Day
20242194,Weekend,Day
20243142,Weekday,Day
20242043,Weekday,Day
20243124,Weekday,Day
20244007,Weekday,Day
20242060,Weekday,Day
20243104,Weekday,Day
20244041,Weekday,Night
20246026,Weekday,Night
20243021,Weekday,Night
20242155,Weekday,Day
20242032,Weekday,Day
20241285,Weekday,Day
20244066,Weekday,Night
20242064,Weekday,Night
20242164,Weekday,Night
20244035,Weekday,Night
20243018,Weekday,Day
20242086,Weekday,Day
20243217,Weekday,Day
20243251,Weekday,Night
20243058,Weekday,Night
20244046,Weekday,Night
20243085,Weekday,Day
20244039,Weekday,Day
20243240,Weekday,Day
20246002,Weekday,Day
20242099,Weekday,Day
20243063,Weekday,Day
20241176,Weekday,Day
20247022,Weekday,Day
20241086,Weekday,Day
20241224,Weekend,Night
20241265,Weekday,Day
20241202,Weekday,Day
20246023,Weekday,Day
20241293,Weekday,Day
20241299,Weekday,Day
20244078,Weekday,Day
20243164,Weekday,Day
20242201,Weekday,Day
20241307,Weekday,Night
20242074,Weekday,Night
20241243,Weekday,Night
20247034,Weekday,Night
20241260,Weekend,Night
20243004,Weekend,Night
20246014,Weekend,Day
20242024,Weekend,Day
20243169,Weekend,Day
20243081,Weekend,Day
20242169,Weekend,Day
20241110,Weekend,Day
20241082,Weekend,Night
20241159,Weekend,Night
20246022,Weekend,Night
20241229,Weekend,Day
20242026,Weekend,Day
20242268,Weekend,Day
20242238,Weekend,Day
20242122,Weekend,Day
20241046,Weekend,Day
20243192,Weekend,Day
20241032,Weekend,Day
20241031,Weekend,Day
20243254,Weekend,Day
20243133,Weekend,Day
20241203,Weekend,Night
20243118,Weekday,Night
20243173,Weekday,Night
20243199,Weekday,Day
20244003,Weekday,Day
20241298,Weekday,Day
