crash_id,state_code
20242268,VIC
20242238,VIC
20242122,VIC
20241046,NSW
20243192,QLD
20241032,NSW
20241031,NSW
20243254,QLD
20243133,QLD
20241203,NSW
20243118,QLD
20243173,QLD
20243199,QLD
20244003,SA
20241298,NSW
20242112,VIC
20243092,QLD
20243042,QLD
20244005,SA
20243178,QLD
20244050,SA
20241208,NSW
20242259,VIC
20242212,VIC
20243019,QLD
20241036,NSW
20242226,VIC
20247007,NT
20243074,QLD
20241003,NSW
20241277,NSW
20241249,NSW
20242020,VIC
20242108,VIC
20243120,QLD
20242187,VIC
20243116,QLD
20242133,VIC
20241092,NSW
20242121,VIC
20243214,QLD
20241118,NSW
20243157,QLD
20241190,NSW
20241097,NSW
20242265,VIC
20241250,NSW
20242200,VIC
20242234,VIC
20242048,VIC
20242003,VIC
20243252,QLD
20243061,QLD
20242162,VIC
20244071,SA
20241047,NSW
20241205,NSW
20241024,NSW
20242096,VIC
20242240,VIC
20243139,QLD
20243075,QLD
20244051,SA
20241070,NSW
20244079,SA
20243051,QLD
20242237,VIC
20243148,QLD
20242157,VIC
20244022,SA
20241142,NSW
20241124,NSW
20241010,NSW
20241252,NSW
20243155,QLD
20243163,QLD
20243269,QLD
20243056,QLD
20243049,QLD
20243103,QLD
20242233,VIC
20243014,QLD
20241198,NSW
20242249,VIC
20243154,QLD
20241100,NSW
20241074,NSW
20243263,QLD
20242016,VIC
20244017,SA
20244009,SA
20242085,VIC
20244012,SA
20243205,QLD
20241035,NSW
20241161,NSW
20241062,NSW
20243119,QLD
20241155,NSW
20243152,QLD
20243053,QLD
20241039,NSW
20242154,VIC
20243215,QLD
20243026,QLD
20241050,NSW
20243271,QLD
20241133,NSW
20248008,ACT
20244037,SA
20242143,VIC
20241273,NSW
20242067,VIC
20242214,VIC
20243238,QLD
20242011,VIC
20241180,NSW
20241059,NSW
20241021,NSW
20242254,VIC
20243256,QLD
20241245,NSW
20243126,QLD
20244082,SA
20241108,NSW
20242137,VIC
20241005,NSW
20241051,NSW
20243128,QLD
20242109,VIC
20241116,NSW
20243226,QLD
20242092,VIC
20242125,VIC
20244077,SA
20242049,VIC
20243265,QLD
20243122,QLD
20243151,QLD
20241283,NSW
20242262,VIC
20242100,VIC
20242211,VIC
20241168,NSW
20241162,NSW
20241073,NSW
20243097,QLD
20242182,VIC
20243123,QLD
20242044,VIC
20241120,NSW
20242266,VIC
20241048,NSW
20243023,QLD
20243137,QLD
20241200,NSW
20242151,VIC
20242223,VIC
20241259,NSW
20241264,NSW
20243086,QLD
20242215,VIC
20246012,TAS
20244068,SA
20241296,NSW
20241006,NSW
20241258,NSW
20241290,NSW
20241056,NSW
20242014,VIC
20241251,NSW
20243076,QLD
20243162,QLD
20242027,VIC
20243029,QLD
20242179,VIC
20244080,SA
20242241,VIC
20244047,SA
20241041,NSW
20241165,NSW
20242077,VIC
20242078,VIC
20242017,VIC
20243223,QLD
20241271,NSW
20242217,VIC
20242245,VIC
20241170,NSW
20242199,VIC
20241177,NSW
20246015,TAS
20242165,VIC
20241011,NSW
20243260,QLD
20241083,NSW
20246006,TAS
20244058,SA
20243218,QLD
20241089,NSW
20243146,QLD
20241295,NSW
20243264,QLD
20241136,NSW
20241281,NSW
20241076,NSW
20244073,SA
20242094,VIC
20241058,NSW
20241019,NSW
20241275,NSW
20243222,QLD
20241065,NSW
20243094,QLD
20243145,QLD
20241305,NSW
20242146,VIC
20241231,NSW
20241145,NSW
20241228,NSW
20243030,QLD
20243034,QLD
20242058,VIC
20241085,NSW
20243091,QLD
20243184,QLD
20242104,VIC
20248004,ACT
20242101,VIC
20243195,QLD
20243055,QLD
20241212,NSW
20241241,NSW
20243071,QLD
20241171,NSW
20243193,QLD
20244011,SA
20242225,VIC
20242160,VIC
20241183,NSW
20241025,NSW
20241079,NSW
20246010,TAS
20242235,VIC
20242113,VIC
20242025,VIC
20241148,NSW
20241262,NSW
20241172,NSW
20242192,VIC
20241014,NSW
20242191,VIC
20243189,QLD
20244033,SA
20241206,NSW
20243069,QLD
20243188,QLD
20241130,NSW
20241178,NSW
20248011,ACT
20241043,NSW
20244054,SA
20243032,QLD
20244015,SA
20243112,QLD
20243253,QLD
20246028,TAS
20242244,VIC
20244006,SA
20241154,NSW
20241146,NSW
20242009,VIC
20241217,NSW
20242030,VIC
20243025,QLD
20242168,VIC
20246021,TAS
20241238,NSW
20241158,NSW
20243228,QLD
20242210,VIC
20242253,VIC
20242256,VIC
20241289,NSW
20243045,QLD
20242028,VIC
20243054,QLD
20241187,NSW
20246007,TAS
20241126,NSW
20244049,SA
20242021,VIC
20242045,VIC
20243101,QLD
20242206,VIC
20242117,VIC
20241226,NSW
20242079,VIC
20241156,NSW
20243093,QLD
20243125,QLD
20243134,QLD
20242239,VIC
20241232,NSW
20241061,NSW
20244056,SA
20242039,VIC
20241182,NSW
20241044,NSW
20242131,VIC
20244031,SA
20242059,VIC
20242033,VIC
20241207,NSW
20243033,QLD
20242159,VIC
20243177,QLD
20243241,QLD
20243132,QLD
20243159,QLD
20242072,VIC
20243028,QLD
20243105,QLD
20242258,VIC
20241007,NSW
20241227,NSW
20243130,QLD
20242065,VIC
20243259,QLD
20244052,SA
20242247,VIC
20241093,NSW
20241276,NSW
20242208,VIC
20241157,NSW
20244065,SA
20242054,VIC
20242221,VIC
20242197,VIC
20241075,NSW
20241279,NSW
20243095,QLD
20243272,QLD
20243027,QLD
20248001,ACT
20242228,VIC
20242105,VIC
20241069,NSW
20244074,SA
20244008,SA
20243100,QLD
20241122,NSW
20244064,SA
20243138,QLD
20241141,NSW
20241244,NSW
20242236,VIC
20242195,VIC
20242010,VIC
20242205,VIC
20244002,SA
20242041,VIC
20242084,VIC
20243230,QLD
20241114,NSW
20243068,QLD
20243099,QLD
20242145,VIC
20243062,QLD
20244048,SA
20241112,NSW
20243047,QLD
20242198,VIC
20243202,QLD
20244029,SA
20241185,NSW
20242153,VIC
20243257,QLD
20243149,QLD
20242202,VIC
20243245,QLD
20244004,SA
20241123,NSW
20242222,VIC
20242248,VIC
20241213,NSW
20242220,VIC
20242047,VIC
20243270,QLD
20241121,NSW
20243016,QLD
20241038,NSW
20243200,QLD
20243039,QLD
20242246,VIC
20242063,VIC
20243180,QLD
20241297,NSW
20243059,QLD
20242242,VIC
20242091,VIC
20243077,QLD
20244038,SA
20243136,QLD
20243211,QLD
20241270,NSW
20241225,NSW
20241084,NSW
20243050,QLD
20243216,QLD
20242190,VIC
20243115,QLD
20242116,VIC
20241129,NSW
20244076,SA
20243141,QLD
20241095,NSW
20242082,VIC
20241090,NSW
20241113,NSW
20243258,QLD
20244053,SA
20241064,NSW
20243175,QLD
20243183,QLD
20241049,NSW
20241242,NSW
20241144,NSW
20243262,QLD
20241001,NSW
20242231,VIC
20241018,NSW
20241105,NSW
20241282,NSW
20243204,QLD
20243224,QLD
20243179,QLD
20241192,NSW
20241026,NSW
20241067,NSW
20242001,VIC
20243013,QLD
20241191,NSW
20242031,VIC
20241117,NSW
20246020,TAS
20241012,NSW
20242263,VIC
20242038,VIC
20246005,TAS
20244030,SA
20242061,VIC
20244036,SA
20242134,VIC
20243060,QLD
20242002,VIC
20243057,QLD
20243166,QLD
20242203,VIC
20243196,QLD
20241214,NSW
20242083,VIC
20241272,NSW
20241104,NSW
20243182,QLD
20242180,VIC
20242126,VIC
20241023,NSW
20243065,QLD
20243083,QLD
20244070,SA
20243048,QLD
