crashID,locationID
20241147,NSW_The_Hills_Sydney___Baulkham_Hills_and_Hawkesbury
20243248,QLD_Moreton_Bay_Moreton_Bay___South
20243096,QLD_Gympie_Wide_Bay
20241150,NSW_Willoughby_Sydney___North_Sydney_and_Hornsby
20241247,NSW_Shoalhaven_Capital_Region
20241234,NSW_Queanbeyan_Palerang_Capital_Region
20242110,VIC_Greater_Bendigo_Bendigo
20242052,VIC_Nillumbik_Melbourne___North_East
20243247,QLD_Western_Downs_Darling_Downs___Maranoa
20243144,QLD_Rockhampton_Central_Queensland
20241235,NSW_Wollongong_Illawarra
20243087,QLD_South_Burnett_Wide_Bay
20244061,SA_Tatiara_South_Australia___South_East
20241009,NSW_Tweed_Richmond___Tweed
20241072,NSW_Mid_Coast_Mid_North_Coast
20243129,QLD_Ipswich_Ipswich
20242219,VIC_Ararat_North_West
20241219,NSW_Hawkesbury_Sydney___Baulkham_Hills_and_Hawkesbury
20244010,SA_Light_Barossa___Yorke___Mid_North
20244040,SA_Salisbury_Adelaide___North
20243171,QLD_Cairns_Cairns
20242075,VIC_Colac_Otway_Warrnambool_and_South_West
20243079,QLD_McKinlay_Queensland___Outback
20241045,NSW_Singleton_Hunter_Valley_exc_Newcastle
20243017,QLD_Gladstone_Central_Queensland
20241160,NSW_Wagga_Wagga_Riverina
20241081,NSW_Lithgow_Central_West
20241135,NSW_Moree_Plains_New_England_and_North_West
20241209,NSW_Campbelltown_(NSW)_Sydney___Outer_South_West
20242140,VIC_Moyne_Warrnambool_and_South_West
20242142,VIC_Macedon_Ranges_Melbourne___North_West
20243107,QLD_Cairns_Cairns
20243020,QLD_Sunshine_Coast_Sunshine_Coast
20241151,NSW_Warrumbungle_Far_West_and_Orana
20243158,QLD_Whitsunday_Mackay___Isaac___Whitsunday
20241286,NSW_Upper_Hunter_Hunter_Valley_exc_Newcastle
20243102,QLD_Noosa_Sunshine_Coast
20241303,NSW_Port_Stephens_Newcastle_and_Lake_Macquarie
20246029,TAS_West_Tamar_Launceston_and_North_East
20248005,ACT_Unincorporated_ACT_Australian_Capital_Territory
20244018,SA_Gawler_Adelaide___North
20241060,NSW_Mid_Coast_Mid_North_Coast
20242022,VIC_Alpine_Hume
20241037,NSW_Central_Coast_(NSW)_Central_Coast
20241257,NSW_Cabonne_Central_West
20241128,NSW_Blacktown_Sydney___Blacktown
20243089,QLD_Brisbane_Ipswich
20242181,VIC_Baw_Baw_Latrobe___Gippsland
20243082,QLD_Isaac_Mackay___Isaac___Whitsunday
20243150,QLD_Sunshine_Coast_Sunshine_Coast
20243170,QLD_Brisbane_Brisbane___South
20243239,QLD_Maranoa_Darling_Downs___Maranoa
20242040,VIC_Southern_Grampians_Warrnambool_and_South_West
20243084,QLD_Moreton_Bay_Moreton_Bay___North
20241030,NSW_Cessnock_Hunter_Valley_exc_Newcastle
20243127,QLD_Scenic_Rim_Logan___Beaudesert
20243003,QLD_Somerset_Ipswich
20243266,QLD_Hinchinbrook_Townsville
20241042,NSW_Blue_Mountains_Sydney___Outer_West_and_Blue_Mountains
20243121,QLD_Scenic_Rim_Logan___Beaudesert
20241175,NSW_Wollongong_Illawarra
20243072,QLD_Mackay_Mackay___Isaac___Whitsunday
20244057,SA_Playford_Adelaide___North
20241091,NSW_Cobar_Far_West_and_Orana
20243201,QLD_South_Burnett_Wide_Bay
20242135,VIC_Ararat_North_West
20243225,QLD_Somerset_Ipswich
20241167,NSW_Campbelltown_(NSW)_Sydney___Outer_South_West
20244060,SA_Adelaide_Hills_Adelaide___Central_and_Hills
20241268,NSW_Bega_Valley_Capital_Region
20244013,SA_Tea_Tree_Gully_Adelaide___North
20243235,QLD_Moreton_Bay_Moreton_Bay___North
20244059,SA_Wattle_Range_South_Australia___South_East
20241266,NSW_Kiama_Illawarra
20243131,QLD_Moreton_Bay_Moreton_Bay___North
20242080,VIC_Moyne_Warrnambool_and_South_West
20241287,NSW_Wollondilly_Sydney___Outer_South_West
20241152,NSW_Mid_Coast_Mid_North_Coast
20243161,QLD_Scenic_Rim_Ipswich
20242042,VIC_Casey_Melbourne___South_East
20243210,QLD_Gladstone_Central_Queensland
20244025,SA_Northern_Areas_Barossa___Yorke___Mid_North
20243088,QLD_Tablelands_Cairns
20241211,NSW_Sydney_Sydney___City_and_Inner_South
20242007,VIC_Murrindindi_Hume
20241204,NSW_Wollongong_Illawarra
20244062,SA_Port_Adelaide_Enfield_Adelaide___West
20241137,NSW_Albury_Murray
20243117,QLD_Gold_Coast_Gold_Coast
20242081,VIC_Boroondara_Melbourne___Inner_East
20243206,QLD_Redland_Brisbane___East
20248003,ACT_Unincorporated_ACT_Australian_Capital_Territory
20244032,SA_Playford_Adelaide___North
20241153,NSW_Penrith_Sydney___Outer_West_and_Blue_Mountains
20242138,VIC_South_Gippsland_Latrobe___Gippsland
20243198,QLD_Hinchinbrook_Townsville
20242107,VIC_Boroondara_Melbourne___Inner_East
20243080,QLD_Fraser_Coast_Wide_Bay
20242204,VIC_Yarra_Ranges_Melbourne___Outer_East
20242139,VIC_Colac_Otway_Warrnambool_and_South_West
20241103,NSW_Bega_Valley_Capital_Region
20242129,VIC_Surf_Coast_Geelong
20244027,SA_Mount_Barker_Adelaide___Central_and_Hills
20243006,QLD_Brisbane_Brisbane___East
20243108,QLD_Bundaberg_Wide_Bay
20243212,QLD_Gold_Coast_Gold_Coast
20241237,NSW_Cessnock_Hunter_Valley_exc_Newcastle
20241052,NSW_Maitland_Hunter_Valley_exc_Newcastle
20241308,NSW_Federation_Murray
