crash_id,vehicle_id
20241115,0
20241125,0
20246013,0
20241002,0
20243185,0
20244016,0
20243168,0
20246003,0
20246001,0
20244081,0
20241087,0
20241054,1
20244042,0
20243246,0
20241101,1
20241216,0
20241300,0
20243007,0
20241278,0
20241149,0
20241068,2
20243273,0
20244020,0
20244055,0
20241094,0
20243160,0
20243209,0
20244001,0
20243243,3
20246016,0
20241119,0
20241169,0
20241291,1
20243036,0
20244026,0
20241077,0
20241028,0
20241022,0
20243015,0
20244023,0
20241098,0
20243114,0
20241040,0
20241174,0
20241088,0
20241255,0
20241053,0
20243046,0
20241080,0
20243044,1
20241274,0
20243176,0
20241181,1
20243110,0
20244044,0
20243147,0
20244019,0
20241194,4
20241139,5
20241197,1
20243220,0
20243267,0
20241057,0
20243174,0
20241166,0
20243213,1
20241096,0
20242089,0
20243073,0
20241027,0
20241163,0
20243143,0
20241222,0
20241218,0
20243249,0
20243098,0
20241306,0
20243037,0
20244083,0
20241196,0
20244028,0
20243038,0
20242023,1
20242230,0
20242127,0
20242120,0
20241106,0
20241230,0
20241055,0
20241267,0
20242260,0
20242057,0
20243153,1
20242161,0
20241236,0
20243172,0
20241188,0
20243191,0
20241256,0
20242019,0
20243008,5
20243001,0
20243041,0
20244021,0
20243113,0
20241107,0
20243022,0
20248002,0
20242088,0
20241173,1
20241004,0
20246004,4
20241201,0
20241029,0
20243005,0
20241261,0
20244024,0
20241215,0
20243186,0
20243208,0
20241134,0
20243040,4
20241263,0
20241302,0
20241147,0
20243248,0
20243096,0
20241150,5
20241247,1
20241234,0
20242110,0
20242052,3
20243247,0
20243144,1
20241235,1
20243087,0
20244061,0
20241009,0
20241072,0
20243129,1
20242219,3
20241219,0
20244010,0
20244040,0
20243171,0
20242075,0
20243079,0
20241045,0
20243017,1
20241160,3
20241081,1
20241135,0
20241209,1
20242140,3
20242142,0
20243107,0
20243020,0
20241151,0
20243158,1
20241286,0
20243102,0
20241303,0
20246029,0
20248005,0
20244018,0
20241060,0
20242022,3
20241037,0
20241257,0
20241128,0
20243089,0
20242181,0
20243082,1
20243150,0
20243170,0
20243239,0
20242040,1
20243084,0
20241030,0
20243127,3
20243003,0
20243266,0
20241042,0
20243121,0
20241175,0
20243072,0
20244057,0
20241091,0
20243201,0
20242135,0
20243225,0
20241167,0
20244060,0
20241268,0
20244013,0
20243235,0
20244059,0
20241266,0
20243131,0
20242080,0
20241287,0
20241152,0
20243161,0
20242042,0
20243210,0
20244025,0
20243088,0
20241211,5
20242007,0
20241204,0
20244062,0
20241137,0
20243117,0
20242081,0
20243206,0
20248003,0
20244032,0
20241153,0
20242138,0
20243198,0
20242107,0
20243080,0
20242204,0
20242139,0
20241103,0
20242129,0
20244027,0
20243006,0
20243108,0
20243212,0
20241237,0
20241052,0
20241308,0
20246027,0
20244072,0
20241195,0
20244043,0
20241102,0
20243194,0
20243070,3
20243165,0
20241063,0
20241132,5
20241292,0
20241189,0
20241233,0
20242115,0
20242167,0
20241016,0
20243234,0
20246025,0
20241220,0
20241034,0
20242012,0
20243009,0
20241269,0
20242093,0
20242176,0
20242255,0
20241066,0
20242175,0
20243207,0
20242029,0
20241246,0
20241078,0
20243064,0
20241013,0
20246019,0
20242257,0
20241138,0
20244014,0
20244069,0
20242053,0
20243111,0
20243067,0
20242186,3
20242250,0
20243167,0
20243106,0
20242098,0
20241179,0
20242070,0
20243261,1
20243227,0
20242243,0
20242102,0
20241109,0
20243187,0
20241301,0
20243135,3
20241248,0
20243268,0
20242071,0
20241020,0
20241294,0
20241304,0
20242123,0
20242144,0
20241199,0
20243066,0
20243233,1
20243203,0
20242209,0
20242056,0
20242130,0
20243109,0
20243010,0
20243181,0
20246018,4
20241071,0
20241186,0
20243078,0
20241223,0
20241221,0
20241143,0
20243242,0
20242189,0
20242170,3
20243043,3
20241140,0
20244063,0
20241131,0
20242172,0
20241111,0
20242055,0
20241017,0
20244067,0
20246024,0
20241254,0
20243011,0
20246011,0
20242177,0
20241127,0
20241210,0
20242132,0
20242184,0
20241253,0
20243024,0
20242224,0
20243031,0
20242069,0
20243156,0
20242251,0
20244034,0
20242090,0
20243231,0
20242194,0
20243142,0
20242043,3
20243124,3
20244007,0
20242060,0
20243104,0
20244041,0
20246026,0
20243021,1
20242155,0
20242032,3
20241285,0
20244066,0
20242064,0
20242164,0
20244035,0
20243018,0
20242086,0
20243217,3
20243251,1
20243058,0
20244046,0
20243085,0
20244039,0
20243240,0
20246002,0
20242099,0
20243063,0
20241176,0
20247022,3
20241086,0
20241224,0
20241265,0
20241202,0
20246023,4
20241293,1
20241299,0
20244078,0
20243164,3
20242201,0
20241307,0
20242074,0
20241243,1
20247034,0
20241260,0
20243004,0
20246014,0
20242024,1
20243169,0
20243081,0
20242169,0
20241110,0
20241082,0
20241159,0
20246022,0
20241229,0
20242026,0
20242268,3
20242238,0
20242122,0
20241046,0
20243192,0
20241032,0
20241031,0
20243254,0
20243133,0
20241203,0
20243118,0
20243173,0
20243199,0
20244003,0
20241298,1
20242112,0
20243092,3
20243042,0
20244005,0
20243178,0
20244050,0
20241208,1
20242259,1
20242212,0
20243019,0
20241036,0
20242226,0
20247007,0
20243074,5
20241003,0
20241277,0
20241249,0
20242020,0
20242108,0
20243120,1
20242187,0
20243116,1
20242133,0
20241092,0
20242121,0
20243214,1
20241118,0
20243157,0
20241190,1
20241097,0
20242265,0
20241250,0
20242200,3
20242234,0
20242048,0
20242003,0
20243252,0
20243061,0
20242162,0
20244071,0
20241047,0
20241205,0
20241024,0
20242096,0
20242240,0
20243139,5
20243075,0
20244051,0
20241070,0
20244079,0
20243051,0
20242237,0
20243148,0
20242157,0
20244022,0
20241142,0
20241124,0
20241010,4
20241252,0
20243155,0
20243163,0
20243269,0
20243056,0
20243049,0
20243103,0
20242233,0
20243014,0
20241198,0
20242249,0
20243154,5
20241100,0
20241074,0
20243263,1
20242016,0
20244017,0
20244009,0
20242085,0
20244012,0
20243205,0
20241035,0
20241161,0
20241062,0
20243119,0
20241155,0
20243152,0
20243053,1
20241039,0
20242154,0
20243215,0
20243026,0
20241050,3
20243271,1
20241133,0
20248008,3
20244037,0
20242143,0
20241273,0
20242067,0
20242214,0
20243238,0
20242011,0
20241180,0
20241059,0
20241021,0
20242254,0
20243256,3
20241245,0
20243126,0
20244082,0
20241108,0
20242137,0
20241005,0
20241051,0
20243128,0
20242109,0
20241116,0
20243226,0
20242092,0
20242125,0
20244077,0
20242049,0
20243265,0
20243122,0
20243151,0
20241283,0
20242262,0
20242100,0
20242211,0
20241168,0
20241162,0
20241073,0
20243097,1
20242182,1
20243123,0
20242044,0
20241120,1
20242266,0
20241048,0
20243023,0
20243137,3
20241200,0
20242151,0
20242223,1
20241259,0
20241264,0
20243086,0
20242215,0
20246012,0
20244068,0
20241296,0
20241006,0
20241258,0
20241290,0
20241056,0
20242014,0
20241251,0
20243076,0
20243162,0
20242027,0
20243029,0
20242179,0
20244080,0
20242241,0
20244047,0
20241041,0
20241165,0
20242077,0
20242078,0
20242017,0
20243223,0
20241271,3
20242217,0
20242245,0
20241170,0
20242199,0
20241177,0
20246015,0
20242165,0
20241011,0
20243260,0
20241083,1
20246006,3
20244058,0
20243218,3
20241089,0
20243146,0
20241295,0
20243264,0
20241136,0
20241281,3
20241076,0
20244073,0
20242094,0
20241058,0
20241019,0
20241275,0
20243222,0
20241065,5
20243094,5
20243145,0
20241305,0
20242146,0
20241231,0
20241145,0
20241228,0
20243030,0
20243034,0
20242058,0
20241085,0
20243091,0
20243184,0
20242104,0
20248004,0
20242101,0
20243195,0
20243055,0
20241212,0
20241241,0
20243071,0
20241171,0
20243193,0
20244011,1
20242225,0
20242160,0
20241183,3
20241025,4
20241079,0
20246010,0
20242235,0
20242113,1
20242025,0
20241148,0
20241262,0
20241172,0
20242192,0
20241014,0
20242191,3
20243189,0
20244033,0
20241206,1
20243069,0
20243188,0
20241130,5
20241178,0
20248011,0
20241043,1
20244054,0
20243032,0
20244015,0
20243112,1
20243253,0
20246028,0
20242244,1
20244006,0
20241154,0
20241146,0
20242009,0
20241217,0
20242030,0
20243025,3
20242168,0
20246021,0
20241238,0
20241158,5
20243228,5
20242210,0
20242253,0
20242256,0
20241289,0
20243045,1
20242028,0
20243054,0
20241187,0
20246007,0
20241126,3
20244049,0
20242021,0
20242045,0
20243101,0
20242206,0
20242117,0
20241226,1
20242079,0
20241156,1
20243093,0
20243125,0
20243134,0
20242239,0
20241232,0
20241061,0
20244056,0
20242039,0
20241182,0
20241044,0
20242131,0
20244031,0
20242059,0
20242033,0
20241207,0
20243033,0
20242159,0
20243177,0
20243241,0
20243132,0
20243159,0
20242072,0
20243028,0
20243105,0
20242258,1
20241007,0
20241227,0
20243130,0
20242065,3
20243259,0
20244052,0
20242247,0
20241093,0
20241276,0
20242208,0
20241157,0
20244065,0
20242054,1
20242221,3
20242197,0
20241075,1
20241279,0
20243095,0
20243272,0
20243027,0
20248001,0
20242228,0
20242105,0
20241069,0
20244074,0
20244008,0
20243100,0
20241122,0
20244064,0
20243138,0
20241141,0
20241244,3
20242236,0
20242195,0
20242010,0
20242205,0
20244002,0
20242041,0
20242084,0
20243230,1
20241114,0
20243068,0
20243099,0
20242145,0
20243062,3
20244048,0
20241112,0
20243047,0
20242198,0
20243202,0
20244029,0
20241185,0
20242153,0
20243257,0
20243149,0
20242202,0
20243245,0
20244004,0
20241123,0
20242222,0
20242248,0
20241213,0
20242220,0
20242047,0
20243270,0
20241121,1
20243016,1
20241038,0
20243200,0
20243039,0
20242246,0
20242063,0
20243180,0
20241297,0
20243059,0
20242242,0
20242091,0
20243077,0
20244038,0
20243136,0
20243211,0
20241270,0
20241225,1
20241084,1
20243050,0
20243216,0
20242190,3
20243115,0
20242116,0
20241129,4
20244076,0
20243141,0
20241095,0
20242082,0
20241090,0
20241113,0
20243258,0
20244053,0
20241064,1
20243175,0
20243183,0
20241049,0
20241242,3
20241144,0
20243262,0
20241001,1
20242231,0
20241018,0
20241105,0
20241282,0
20243204,0
20243224,0
20243179,0
20241192,0
20241026,0
20241067,0
20242001,0
20243013,0
20241191,1
20242031,0
20241117,0
20246020,0
20241012,0
20242263,0
20242038,0
20246005,0
20244030,0
20242061,0
20244036,0
20242134,0
20243060,0
20242002,0
20243057,0
20243166,0
20242203,0
20243196,0
20241214,3
20242083,0
20241272,3
20241104,0
20243182,0
20242180,3
20242126,0
20241023,0
20243065,0
20243083,0
20244070,0
20243048,0
20241280,1
20242118,0
20241193,1
20242150,0
20241239,0
20242111,0
20243255,0
20241033,0
20241288,0
20243012,0
20241164,0
20243250,0
20242076,0
20241099,0
20243052,0
20241015,0
20243219,1
20241184,0
20241284,0
20242218,0
20241008,0
20244075,0
20242147,0
20248010,0
20234108,0
20234099,0
20233145,1
20236026,0
20233259,0
20236028,0
20231088,0
20231189,1
20232156,0
20233100,0
20231103,0
20232192,1
20233056,0
20231091,1
20232211,0
20231104,0
20231155,0
20232098,1
20232128,1
20233085,0
20234027,0
20232061,1
20234033,0
20232044,0
20232250,0
20233231,0
20231020,0
20231115,0
20231038,0
20231108,0
20231281,0
20233078,0
20231261,0
20233258,0
20236009,0
20232237,0
20232188,0
20233165,0
20231098,0
20234029,0
20231102,0
20231198,0
20231129,0
20231231,0
20233120,0
20232196,0
20234053,0
20232240,0
20231095,0
20232119,0
20232243,0
20234042,0
20232067,0
20234079,0
20231023,0
20233221,0
20233081,0
20231076,0
20232045,0
20236006,0
20234061,0
20232201,0
20236025,0
20233189,0
20233111,0
20232097,0
20233036,0
20231250,0
20233228,0
20234084,0
20232009,0
20231145,0
20231056,3
20232115,3
20233012,0
20232018,0
20233200,0
20233110,0
20233154,0
20231223,0
20234067,0
20231182,0
20238004,0
20231173,0
20233155,0
20233161,0
20234020,0
20231052,0
20231296,0
20231143,0
20234021,0
20231302,0
20231285,3
20231178,0
20234031,0
20237013,0
20233136,0
20233051,0
20231229,0
20233176,3
20234068,0
20231044,5
20231190,0
20236012,0
20233205,0
20233074,0
20233050,0
20231045,0
20231205,0
20234025,0
20231119,0
20231272,0
20233139,0
20233043,0
20231256,0
20234018,0
20231278,0
20233008,0
20234063,0
20233069,0
20234017,0
20231029,0
20231111,1
20234034,0
20231160,0
20233224,0
20231139,0
20231303,3
20231283,1
20231141,0
20231206,1
20233017,0
20231175,0
20233073,5
20233114,0
20231064,0
20233032,0
20233063,0
20231271,0
20234094,0
20231152,3
20231068,1
20233020,0
20233134,0
20233198,0
20231252,0
20231227,0
20231292,3
20232065,0
20232171,0
20232063,0
20232074,1
20231288,0
20232170,0
20231133,0
20231249,0
20231171,0
20233196,0
20233245,0
20231025,0
20231244,0
20232118,0
20231128,0
20232048,0
20236004,0
20232204,0
20231251,0
20231263,0
20231078,0
20233251,0
20234077,0
20236003,0
20233246,0
20232248,0
20237008,0
20232026,0
20233170,0
20233210,0
20233076,0
20233131,0
20233133,0
20232124,0
20232136,0
20233183,0
20232022,0
20231168,0
20232217,0
20236016,0
20231220,0
20233195,5
20231301,0
20233167,0
20233021,0
20231106,0
20231149,3
20231226,0
20236022,0
20232084,0
20232172,0
20237023,0
20232154,0
20234026,0
20232103,0
20232163,0
20231163,0
20231262,0
20231059,0
20236011,0
20234095,0
20232205,0
20234059,0
20234066,0
20232223,0
20231010,0
20231274,3
20231188,3
20231062,0
20233191,0
20234087,0
20232150,0
20233144,0
20233208,0
20233212,0
20234032,0
20232125,0
20231234,3
20233121,0
20232081,0
20233098,0
20233070,3
20233040,0
20236027,0
20232239,0
20231245,5
20231097,0
20232152,0
20231022,0
20231117,0
20231164,0
20231019,0
20233175,0
20233015,0
20231043,0
20234057,0
20234105,0
20233214,0
20234035,0
20231067,1
20231085,0
20231026,0
20233263,0
20237021,0
20231214,0
20232181,0
20231086,0
20232076,0
20233053,0
20233250,0
20233118,0
20231011,3
20232135,0
20233035,0
20237006,0
20233058,0
20233264,0
20232005,0
20234005,0
20231012,0
20231158,0
20231248,0
20234006,0
20233204,0
20233027,0
20232146,0
20233162,0
20232182,0
20232042,0
20231165,0
20233143,1
20231297,0
20232023,0
20233153,0
20232094,0
20231074,0
20233059,0
20233014,1
20232051,0
20231195,0
20231005,0
20232252,0
20234109,1
20231136,0
20234052,0
20234056,0
20232033,0
20232116,0
20232189,0
20233169,0
20232245,0
20231255,3
20231057,0
20233229,3
20231238,0
20234062,0
20234048,0
