crashID,crashType,articulatedTruckInvolvement,busInvolvement,heavyRigidTruckInvolvement,vehicleID
20243150,Single,No,No,No,V188
20243170,Single,No,No,No,V189
20243239,Single,No,No,No,V190
20242040,Single,Yes,No,No,V191
20243084,Single,No,No,No,V192
20241030,Single,No,No,No,V193
20243127,Single,No,No,Yes,V194
20243003,Single,No,No,No,V195
20243266,Single,No,No,No,V196
20241042,Single,No,No,No,V197
20243121,Single,No,No,No,V198
20241175,Single,No,No,No,V199
20243072,Single,No,No,No,V200
20244057,Single,No,No,No,V201
20241091,Single,No,No,No,V202
20243201,Single,No,No,No,V203
20242135,Single,No,No,No,V204
20243225,Single,No,No,No,V205
20241167,Single,No,No,No,V206
20244060,Single,No,No,No,V207
20241268,Single,No,No,No,V208
20244013,Single,No,No,No,V209
20243235,Multiple,No,No,No,V210
20243235,Multiple,No,No,No,V211
20244059,Multiple,No,No,No,V212
20244059,Multiple,No,No,No,V213
20241266,Single,No,No,No,V214
20243131,Single,No,No,No,V215
20242080,Single,No,No,No,V216
20241287,Single,No,No,No,V217
20241152,Single,No,No,No,V218
20243161,Single,No,No,No,V219
20242042,Single,No,No,No,V220
20243210,Single,No,No,No,V221
20244025,Single,No,No,No,V222
20243088,Single,No,No,No,V223
20241211,Multiple,No,Yes,No,V224
20241211,Multiple,No,Yes,No,V225
20242007,Single,No,No,No,V226
20241204,Single,No,No,No,V227
20244062,Single,No,No,No,V228
20241137,Single,No,No,No,V229
20243117,Single,No,No,No,V230
20242081,Single,No,No,No,V231
20243206,Single,No,No,No,V232
20248003,Single,No,No,No,V233
20244032,Single,No,No,No,V234
20241153,Single,No,No,No,V235
20242138,Single,No,No,No,V236
20243198,Single,No,No,No,V237
20242107,Single,No,No,No,V238
20243080,Single,No,No,No,V239
20242204,Single,No,No,No,V240
20242139,Single,No,No,No,V241
20241103,Single,No,No,No,V242
20242129,Single,No,No,No,V243
20244027,Single,No,No,No,V244
20243006,Single,No,No,No,V245
20243108,Single,No,No,No,V246
20243212,Single,No,No,No,V247
20241237,Single,No,No,No,V248
20241052,Single,No,No,No,V249
20241308,Single,No,No,No,V250
20246027,Single,No,No,No,V251
20244072,Single,No,No,No,V252
20241195,Single,No,No,No,V253
20244043,Single,No,No,No,V254
20241102,Single,No,No,No,V255
20243194,Single,No,No,No,V256
20243070,Single,No,No,Yes,V257
20243165,Single,No,No,No,V258
20241063,Single,No,No,No,V259
20241132,Single,No,Yes,No,V260
20241292,Single,No,No,No,V261
20241189,Single,No,No,No,V262
20241233,Multiple,No,No,No,V263
20241233,Multiple,No,No,No,V264
20241233,Multiple,No,No,No,V265
20241233,Multiple,No,No,No,V266
20242115,Single,No,No,No,V267
20242167,Single,No,No,No,V268
20241016,Single,No,No,No,V269
20243234,Single,No,No,No,V270
20246025,Single,No,No,No,V271
20241220,Single,No,No,No,V272
20241034,Single,No,No,No,V273
20242012,Single,No,No,No,V274
20243009,Multiple,No,No,No,V275
20243009,Multiple,No,No,No,V276
20241269,Single,No,No,No,V277
20242093,Single,No,No,No,V278
20242176,Single,No,No,No,V279
20242255,Single,No,No,No,V280
20241066,Single,No,No,No,V281
20242175,Single,No,No,No,V282
20243207,Single,No,No,No,V283
20242029,Single,No,No,No,V284
20241246,Single,No,No,No,V285
20241078,Single,No,No,No,V286
20243064,Single,No,No,No,V287
20241013,Multiple,No,No,No,V288
20241013,Multiple,No,No,No,V289
20246019,Single,No,No,No,V290
20242257,Single,No,No,No,V291
20241138,Single,No,No,No,V292
20244014,Single,No,No,No,V293
20244069,Single,No,No,No,V294
20242053,Single,No,No,No,V295
20243111,Single,No,No,No,V296
20243067,Single,No,No,No,V297
20242186,Single,No,No,Yes,V298
20242250,Single,No,No,No,V299
20243167,Single,No,No,No,V300
20243106,Single,No,No,No,V301
