from,to
475,NSW
476,VIC
477,VIC
478,QLD
479,VIC
480,QLD
481,QLD
482,VIC
483,NSW
484,VIC
485,QLD
486,NSW
487,QLD
488,NSW
489,NSW
490,VIC
491,VIC
492,NSW
493,VIC
494,VIC
495,VIC
496,VIC
497,QLD
498,QLD
499,QLD
500,VIC
501,SA
502,NSW
503,NSW
504,NSW
505,VIC
506,VIC
507,QLD
508,QLD
509,SA
510,NSW
511,SA
512,QLD
513,QLD
514,QLD
515,VIC
516,QLD
517,VIC
518,SA
519,NSW
520,NSW
521,NSW
522,NSW
523,QLD
524,QLD
525,QLD
526,QLD
527,QLD
528,QLD
529,VIC
530,QLD
531,NSW
532,VIC
533,QLD
534,QLD
535,QLD
536,NSW
537,NSW
538,QLD
539,VIC
540,SA
541,SA
542,VIC
543,SA
544,QLD
545,NSW
546,NSW
547,NSW
548,QLD
549,NSW
550,QLD
551,QLD
552,NSW
553,VIC
554,VIC
555,QLD
556,QLD
557,NSW
558,QLD
559,NSW
560,ACT
561,SA
562,VIC
563,NSW
564,VIC
565,VIC
566,QLD
567,VIC
568,NSW
569,NSW
570,NSW
571,VIC
572,QLD
573,NSW
574,QLD
575,SA
576,SA
577,NSW
578,VIC
579,NSW
580,NSW
581,QLD
582,VIC
583,NSW
584,QLD
585,VIC
586,VIC
587,SA
588,VIC
589,QLD
590,QLD
591,QLD
592,NSW
593,VIC
594,VIC
595,VIC
596,NSW
597,NSW
598,NSW
599,NSW
600,NSW
601,QLD
602,QLD
603,QLD
604,VIC
605,QLD
606,VIC
607,NSW
608,VIC
609,NSW
610,QLD
611,QLD
612,NSW
613,VIC
614,VIC
615,VIC
616,NSW
617,NSW
618,QLD
619,VIC
620,TAS
621,SA
622,NSW
623,NSW
624,NSW
625,NSW
626,NSW
627,NSW
628,NSW
629,VIC
630,NSW
631,QLD
632,QLD
633,VIC
634,QLD
635,QLD
636,VIC
637,SA
638,VIC
639,SA
640,NSW
641,NSW
642,VIC
643,VIC
644,VIC
645,QLD
646,NSW
647,VIC
648,VIC
649,NSW
650,VIC
651,NSW
652,TAS
653,VIC
654,NSW
655,QLD
656,QLD
657,QLD
658,NSW
659,NSW
660,TAS
661,SA
662,QLD
663,NSW
664,QLD
665,NSW
666,QLD
667,NSW
668,NSW
669,NSW
670,NSW
671,SA
672,VIC
673,NSW
674,NSW
675,NSW
676,QLD
677,NSW
678,QLD
679,QLD
680,NSW
681,VIC
682,VIC
683,NSW
684,NSW
685,NSW
686,QLD
687,QLD
688,VIC
689,NSW
690,QLD
691,QLD
692,VIC
693,ACT
694,VIC
695,QLD
696,QLD
697,NSW
698,NSW
699,QLD
700,NSW
701,QLD
702,QLD
703,SA
704,SA
705,SA
706,VIC
707,VIC
708,NSW
709,NSW
710,NSW
711,NSW
712,TAS
713,VIC
714,VIC
715,VIC
716,NSW
717,NSW
718,NSW
719,VIC
720,NSW
721,VIC
722,QLD
723,SA
724,NSW
725,QLD
726,QLD
727,NSW
728,NSW
729,NSW
730,ACT
731,NSW
732,SA
733,QLD
734,SA
735,QLD
736,QLD
737,TAS
738,VIC
739,SA
740,NSW
741,NSW
742,VIC
743,NSW
744,VIC
745,QLD
746,VIC
747,TAS
748,NSW
749,NSW
750,QLD
751,VIC
752,VIC
753,VIC
754,NSW
755,QLD
756,QLD
757,QLD
758,VIC
759,QLD
760,NSW
761,TAS
762,NSW
763,SA
764,VIC
765,VIC
766,QLD
767,VIC
768,VIC
769,NSW
770,VIC
771,NSW
772,QLD
773,QLD
774,QLD
775,VIC
776,NSW
777,NSW
778,SA
779,VIC
780,NSW
781,NSW
782,VIC
783,SA
784,SA
785,VIC
786,VIC
787,NSW
788,QLD
789,VIC
790,QLD
791,QLD
792,QLD
793,QLD
794,VIC
795,QLD
796,QLD
797,VIC
798,NSW
799,NSW
800,QLD
801,VIC
802,QLD
803,SA
804,VIC
805,VIC
806,NSW
807,NSW
808,VIC
809,NSW
810,SA
811,VIC
812,VIC
813,VIC
814,NSW
815,NSW
816,QLD
817,QLD
818,QLD
819,ACT
820,VIC
821,VIC
822,NSW
823,SA
824,SA
825,SA
826,QLD
827,NSW
828,SA
829,QLD
830,NSW
831,NSW
832,VIC
833,VIC
834,VIC
835,VIC
836,SA
837,VIC
838,VIC
839,QLD
840,NSW
841,QLD
842,QLD
843,VIC
844,QLD
845,SA
846,NSW
847,QLD
848,VIC
849,QLD
850,QLD
851,SA
852,NSW
853,NSW
854,NSW
855,NSW
856,VIC
857,QLD
858,QLD
859,VIC
860,QLD
861,SA
862,NSW
863,VIC
864,VIC
865,NSW
866,NSW
867,NSW
868,VIC
869,VIC
870,QLD
871,NSW
872,QLD
873,NSW
874,QLD
875,QLD
876,VIC
877,VIC
878,QLD
879,NSW
880,QLD
881,VIC
882,VIC
883,QLD
884,SA
885,QLD
886,QLD
887,NSW
888,NSW
889,NSW
890,QLD
891,QLD
892,VIC
893,QLD
894,VIC
895,NSW
896,SA
897,QLD
898,NSW
899,VIC
900,NSW
901,NSW
902,QLD
903,SA
904,NSW
905,QLD
906,QLD
907,NSW
908,NSW
909,NSW
910,QLD
911,NSW
912,VIC
913,NSW
914,NSW
915,NSW
916,QLD
917,QLD
918,QLD
919,NSW
920,NSW
921,NSW
922,VIC
923,QLD
924,NSW
925,NSW
926,VIC
927,NSW
928,NSW
929,TAS
930,NSW
931,VIC
932,VIC
933,TAS
934,SA
935,VIC
936,SA
937,VIC
938,QLD
939,VIC
940,VIC
941,QLD
942,QLD
943,VIC
944,QLD
945,NSW
946,VIC
947,NSW
948,NSW
949,QLD
950,VIC
951,VIC
952,NSW
953,NSW
954,QLD
955,QLD
956,SA
957,QLD
958,NSW
959,VIC
960,VIC
961,NSW
962,VIC
963,NSW
964,VIC
965,QLD
966,NSW
967,NSW
968,QLD
969,NSW
970,QLD
971,VIC
972,NSW
973,QLD
974,NSW
975,QLD
976,NSW
977,NSW
978,VIC
979,NSW
980,SA
981,VIC
982,ACT
983,SA
984,SA
985,QLD
986,TAS
987,QLD
988,TAS
989,NSW
990,NSW
991,NSW
992,NSW
993,VIC
994,QLD
995,NSW
996,VIC
997,VIC
998,QLD
999,NSW
1000,VIC
1001,NSW
1002,NSW
1003,VIC
1004,VIC
1005,QLD
1006,SA
1007,VIC
1008,SA
1009,VIC
1010,VIC
1011,QLD
1012,NSW
1013,NSW
1014,NSW
1015,NSW
1016,NSW
1017,NSW
1018,QLD
1019,NSW
1020,QLD
1021,QLD
1022,TAS
1023,VIC
1024,VIC
1025,QLD
1026,NSW
1027,SA
1028,NSW
1029,NSW
1030,NSW
1031,NSW
1032,NSW
1033,QLD
1034,VIC
1035,SA
1036,SA
1037,VIC
1038,NSW
1039,VIC
1040,VIC
1041,SA
1042,VIC
1043,SA
1044,NSW
1045,QLD
1046,QLD
1047,NSW
1048,VIC
1049,TAS
1050,SA
1051,VIC
1052,TAS
1053,QLD
1054,QLD
1055,VIC
1056,QLD
1057,NSW
1058,QLD
1059,SA
1060,VIC
1061,NSW
1062,NSW
1063,VIC
1064,QLD
1065,VIC
1066,QLD
1067,QLD
1068,QLD
1069,NSW
1070,NSW
1071,NSW
1072,SA
1073,NSW
1074,ACT
1075,NSW
1076,QLD
1077,QLD
1078,SA
1079,NSW
1080,NSW
1081,NSW
1082,SA
1083,NSW
1084,NSW
1085,NSW
1086,SA
1087,NT
1088,QLD
1089,QLD
1090,NSW
1091,NSW
1092,QLD
1093,SA
1094,NSW
1095,NSW
1096,TAS
1097,QLD
1098,QLD
1099,QLD
1100,NSW
1101,NSW
1102,NSW
1103,SA
1104,SA
1105,NSW
1106,NSW
1107,QLD
1108,QLD
1109,NSW
1110,SA
1111,NSW
1112,QLD
1113,SA
1114,QLD
1115,SA
1116,NSW
1117,NSW
1118,SA
1119,NSW
1120,QLD
1121,NSW
1122,NSW
1123,NSW
1124,NSW
1125,NSW
1126,QLD
1127,NSW
1128,QLD
1129,QLD
1130,NSW
1131,QLD
1132,QLD
