personID,crashID
P456,20241298
P457,20242112
P458,20242112
P459,20243092
P460,20243042
P461,20244005
P462,20243178
P463,20244050
P464,20241208
P465,20242259
P466,20242212
P467,20243019
P468,20241036
P469,20242226
P470,20247007
P471,20243074
P472,20241003
P473,20241277
P474,20241249
P475,20242020
P476,20242108
P477,20243120
P478,20242187
P479,20243116
P480,20243116
P481,20242133
P482,20241092
P483,20242121
P484,20243214
P485,20241118
P486,20243157
P487,20241190
P488,20241097
P489,20242265
P490,20242265
P491,20241250
P492,20242200
P493,20242234
P494,20242048
P495,20242003
P496,20243252
P497,20243252
P498,20243061
P499,20242162
P500,20244071
P501,20241047
P502,20241205
P503,20241024
P504,20242096
P505,20242240
P506,20243139
P507,20243075
P508,20244051
P509,20241070
P510,20244079
P511,20243051
P512,20243051
P513,20243051
P514,20242237
P515,20243148
P516,20242157
P517,20244022
P518,20241142
P519,20241124
P520,20241010
P521,20241252
P522,20243155
P523,20243163
P524,20243269
P525,20243056
P526,20243049
P527,20243103
P528,20242233
P529,20243014
P530,20241198
P531,20242249
P532,20243154
P533,20243154
P534,20243154
P535,20241100
P536,20241074
P537,20243263
P538,20242016
P539,20244017
P540,20244009
P541,20242085
P542,20244012
P543,20243205
P544,20241035
P545,20241161
P546,20241062
P547,20243119
P548,20241155
P549,20243152
P550,20243053
P551,20241039
P552,20242154
P553,20242154
P554,20243215
P555,20243026
P556,20241050
P557,20243271
P558,20241133
P559,20248008
P560,20244037
P561,20242143
P562,20241273
P563,20242067
P564,20242214
P565,20243238
P566,20242011
P567,20241180
P568,20241059
P569,20241021
P570,20242254
P571,20243256
P572,20241245
P573,20243126
P574,20244082
P575,20244082
P576,20241108
P577,20242137
P578,20241005
P579,20241051
P580,20243128
P581,20242109
P582,20241116
P583,20243226
P584,20242092
P585,20242125
P586,20244077
P587,20242049
P588,20243265
P589,20243122
P590,20243151
P591,20241283
P592,20242262
P593,20242100
P594,20242211
P595,20241168
P596,20241168
P597,20241162
P598,20241162
P599,20241073
P600,20243097
P601,20243097
P602,20243097
P603,20242182
P604,20243123
P605,20242044
P606,20241120
P607,20242266
P608,20241048
P609,20243023
P610,20243137
P611,20241200
P612,20242151
P613,20242151
P614,20242223
P615,20241259
P616,20241264
P617,20243086
P618,20242215
P619,20246012
P620,20244068
P621,20241296
P622,20241006
P623,20241006
P624,20241258
P625,20241290
P626,20241056
P627,20241290
P628,20242014
P629,20241251
P630,20243076
P631,20243162
P632,20242027
P633,20243029
P634,20243029
P635,20242179
P636,20244080
P637,20242241
P638,20244047
P639,20241041
P640,20241165
P641,20242077
P642,20242078
P643,20242017
P644,20243223
P645,20241271
P646,20242217
P647,20242245
P648,20241170
P649,20242199
P650,20241177
P651,20246015
P652,20242165
P653,20241011
P654,20243260
P655,20243260
P656,20243260
P657,20241083
P658,20241083
P659,20246006
P660,20244058
P661,20243218
P662,20241089
P663,20243146
P664,20241295
P665,20243264
P666,20241136
P667,20241281
P668,20241136
P669,20241076
P670,20244073
P671,20242094
