crashID,month,year,dayweek,time,numberFatalities,speedLimit
20241115,12,2024,Friday,4:00,1,100
20241125,12,2024,Friday,6:15,1,80
20246013,12,2024,Friday,9:43,1,50
20241002,12,2024,Friday,10:35,1,100
20243185,12,2024,Friday,13:00,1,100
20244016,12,2024,Friday,13:39,1,100
20243168,12,2024,Friday,19:00,1,60
20246003,12,2024,Friday,19:30,1,50
20246001,12,2024,Friday,19:40,1,100
20244081,12,2024,Friday,22:42,1,50
20241087,12,2024,Friday,23:00,1,70
20241054,12,2024,Friday,23:10,1,110
20244042,12,2024,Monday,1:00,1,100
20243246,12,2024,Monday,9:00,1,80
20241101,12,2024,Monday,10:48,1,60
20241216,12,2024,Monday,12:05,1,60
20241300,12,2024,Monday,13:58,1,100
20243007,12,2024,Monday,14:00,1,100
20241278,12,2024,Monday,14:43,1,100
20241149,12,2024,Monday,16:00,1,40
20241068,12,2024,Saturday,3:30,1,110
20243273,12,2024,Saturday,4:00,1,100
20244020,12,2024,Saturday,10:25,1,100
20244055,12,2024,Saturday,10:36,2,110
20241094,12,2024,Saturday,12:10,1,50
20243160,12,2024,Saturday,14:00,2,100
20243209,12,2024,Saturday,14:00,1,50
20244001,12,2024,Saturday,14:50,1,100
20243243,12,2024,Saturday,15:00,1,70
20246016,12,2024,Saturday,15:18,1,100
20241119,12,2024,Saturday,15:25,2,100
20241169,12,2024,Saturday,21:30,1,80
20241291,12,2024,Sunday,2:00,1,110
20243036,12,2024,Sunday,4:00,1,100
20244026,12,2024,Sunday,6:35,1,50
20241077,12,2024,Sunday,8:09,1,50
20241028,12,2024,Sunday,8:20,1,50
20241022,12,2024,Sunday,11:20,1,100
20243015,12,2024,Sunday,12:00,1,60
20244023,12,2024,Sunday,12:35,1,100
20241098,12,2024,Sunday,12:50,1,90
20243114,12,2024,Sunday,13:00,2,100
20241040,12,2024,Sunday,14:15,1,100
20241174,12,2024,Sunday,14:48,1,60
20241088,12,2024,Sunday,16:00,1,100
20241255,12,2024,Sunday,18:20,1,100
20241053,12,2024,Sunday,22:19,2,100
20243046,12,2024,Sunday,23:00,2,60
20241080,12,2024,Thursday,1:39,1,60
20243044,12,2024,Thursday,12:00,1,100
20241274,12,2024,Thursday,15:40,1,100
20243176,12,2024,Tuesday,4:00,1,60
20241181,12,2024,Tuesday,8:30,1,110
20243110,12,2024,Tuesday,11:00,1,60
20244044,12,2024,Tuesday,13:30,1,100
20243147,12,2024,Tuesday,15:00,1,80
20244019,12,2024,Tuesday,18:30,1,100
20241194,12,2024,Tuesday,21:10,1,80
20241139,12,2024,Tuesday,22:55,1,50
20241197,12,2024,Tuesday,23:55,1,100
20243220,12,2024,Wednesday,0:00,1,100
20243267,12,2024,Wednesday,4:00,1,90
20241057,12,2024,Wednesday,12:25,1,110
20243174,12,2024,Wednesday,16:00,1,80
20241166,12,2024,Wednesday,17:00,1,100
20243213,11,2024,Friday,2:00,1,100
20241096,11,2024,Friday,4:44,1,100
20242089,11,2024,Friday,7:05,1,60
20243073,11,2024,Friday,10:00,1,70
20241027,11,2024,Friday,10:50,1,100
20241163,11,2024,Friday,12:42,1,100
20243143,11,2024,Friday,13:00,1,100
20241222,11,2024,Friday,14:30,1,100
20241218,11,2024,Friday,17:30,1,110
20243249,11,2024,Friday,18:00,1,100
20243098,11,2024,Friday,20:00,1,80
20241306,11,2024,Friday,22:35,1,60
20243037,11,2024,Monday,6:00,1,50
20244083,11,2024,Monday,6:23,1,60
20241196,11,2024,Monday,11:30,1,60
20244028,11,2024,Monday,12:12,2,100
20243038,11,2024,Monday,14:00,1,100
20242023,11,2024,Monday,14:20,1,70
20242230,11,2024,Monday,15:05,1,100
20242127,11,2024,Monday,15:07,1,80
20242120,11,2024,Monday,15:08,1,100
20241106,11,2024,Monday,15:38,1,60
20241230,11,2024,Monday,16:30,1,70
20241055,11,2024,Monday,17:57,1,50
20241267,11,2024,Monday,20:00,1,50
20242260,11,2024,Monday,23:10,1,80
20242057,11,2024,Saturday,5:20,1,100
20243153,11,2024,Saturday,9:00,1,100
20242161,11,2024,Saturday,9:25,1,60
20241236,11,2024,Saturday,10:00,1,80
20243172,11,2024,Saturday,10:00,1,10
20241188,11,2024,Saturday,11:10,1,100
20243191,11,2024,Saturday,16:00,2,100
20241256,11,2024,Saturday,17:20,2,100
20242019,11,2024,Saturday,18:39,1,100
20243008,11,2024,Saturday,19:00,1,80
20243001,11,2024,Saturday,21:00,1,80
20243041,11,2024,Saturday,21:00,1,100
20244021,11,2024,Saturday,21:35,1,60
20243113,11,2024,Saturday,23:00,1,60
20241107,11,2024,Saturday,23:24,1,100
20243022,11,2024,Sunday,0:00,1,60
20248002,11,2024,Sunday,1:30,1,80
20242088,11,2024,Sunday,2:10,1,80
20241173,11,2024,Sunday,3:00,2,110
20241004,11,2024,Sunday,6:00,1,50
20246004,11,2024,Sunday,7:15,1,110
20241201,11,2024,Sunday,8:10,1,50
20241029,11,2024,Sunday,10:40,1,80
20243005,11,2024,Sunday,11:00,1,60
20241261,11,2024,Sunday,11:04,1,90
20244024,11,2024,Sunday,11:30,1,80
20241215,11,2024,Sunday,14:45,1,100
20243186,11,2024,Sunday,17:00,1,80
20243208,11,2024,Sunday,21:00,1,40
20241134,11,2024,Thursday,0:01,1,80
20243040,11,2024,Thursday,2:00,2,60
20241263,11,2024,Thursday,4:00,1,50
20241302,11,2024,Thursday,4:02,1,110
20241147,11,2024,Thursday,5:45,1,50
20243248,11,2024,Thursday,9:00,1,70
20243096,11,2024,Thursday,9:00,1,50
20241150,11,2024,Thursday,12:20,1,50
20241247,11,2024,Thursday,13:30,1,100
20241234,11,2024,Thursday,17:25,1,100
20242110,11,2024,Thursday,17:44,1,80
20242052,11,2024,Thursday,18:15,1,70
20243247,11,2024,Tuesday,5:00,1,100
20243144,11,2024,Tuesday,6:00,1,100
20241235,11,2024,Tuesday,10:45,1,80
20243087,11,2024,Tuesday,11:00,2,100
20244061,11,2024,Tuesday,11:48,1,110
20241009,11,2024,Tuesday,11:58,1,80
20241072,11,2024,Tuesday,12:00,1,60
20243129,11,2024,Tuesday,12:00,1,100
20242219,11,2024,Tuesday,12:25,1,100
20241219,11,2024,Tuesday,12:37,1,80
20244010,11,2024,Tuesday,12:55,1,100
20244040,11,2024,Tuesday,14:33,1,50
20243171,11,2024,Tuesday,16:00,1,100
20242075,11,2024,Tuesday,16:40,1,80
20243079,11,2024,Tuesday,17:00,1,100
20241045,11,2024,Tuesday,20:10,1,50
20243017,11,2024,Tuesday,23:00,2,100
20241160,11,2024,Wednesday,17:15,1,50
20241081,11,2024,Wednesday,18:00,1,100
20241135,11,2024,Wednesday,21:50,1,100
20241209,11,2024,Wednesday,22:08,1,110
20242140,10,2024,Friday,6:50,2,100
20242142,10,2024,Friday,7:15,1,100
20243107,10,2024,Friday,10:00,1,80
20243020,10,2024,Friday,11:00,1,60
20241151,10,2024,Friday,11:22,1,100
20243158,10,2024,Friday,15:00,1,100
20241286,10,2024,Friday,15:50,1,80
20243102,10,2024,Friday,16:00,1,80
20241303,10,2024,Friday,16:22,1,100
20246029,10,2024,Friday,16:58,1,50
20248005,10,2024,Friday,17:50,1,80
20244018,10,2024,Friday,19:57,1,110
20241060,10,2024,Friday,20:00,2,80
20242022,10,2024,Friday,22:20,1,60
20241037,10,2024,Friday,22:45,1,70
20241257,10,2024,Friday,23:38,1,50
20241128,10,2024,Monday,0:25,1,100
20243089,10,2024,Monday,2:00,1,60
20242181,10,2024,Monday,6:30,1,100
20243082,10,2024,Monday,8:00,1,100
20243150,10,2024,Monday,14:00,1,100
20243170,10,2024,Monday,18:00,1,60
20243239,10,2024,Monday,18:00,1,100
20242040,10,2024,Saturday,2:10,1,100
20243084,10,2024,Saturday,4:00,1,80
20241030,10,2024,Saturday,5:06,1,80
20243127,10,2024,Saturday,8:00,1,80
20243003,10,2024,Saturday,12:00,1,100
20243266,10,2024,Saturday,13:00,1,60
20241042,10,2024,Saturday,13:10,1,80
20243121,10,2024,Saturday,14:00,1,100
20241175,10,2024,Saturday,20:10,1,50
20243072,10,2024,Sunday,1:00,1,80
20244057,10,2024,Sunday,3:45,1,90
20241091,10,2024,Sunday,8:30,1,110
20243201,10,2024,Sunday,9:00,1,100
20242135,10,2024,Sunday,9:49,1,100
20243225,10,2024,Sunday,10:00,1,80
20241167,10,2024,Sunday,12:10,1,50
20244060,10,2024,Sunday,13:00,1,100
20241268,10,2024,Sunday,13:00,1,100
20244013,10,2024,Sunday,13:29,1,60
20243235,10,2024,Sunday,14:00,2,90
20244059,10,2024,Sunday,14:42,2,110
20241266,10,2024,Sunday,15:35,1,80
20243131,10,2024,Sunday,16:00,1,60
20242080,10,2024,Sunday,16:45,1,100
20241287,10,2024,Thursday,4:50,1,100
20241152,10,2024,Thursday,5:45,1,100
20243161,10,2024,Thursday,8:00,1,100
20242042,10,2024,Thursday,8:28,1,80
20243210,10,2024,Thursday,9:00,1,60
20244025,10,2024,Thursday,10:45,1,110
20243088,10,2024,Thursday,13:00,1,50
20241211,10,2024,Thursday,13:30,2,70
20242007,10,2024,Thursday,13:54,1,100
20241204,10,2024,Thursday,15:15,1,80
20244062,10,2024,Thursday,16:30,1,80
20241137,10,2024,Thursday,16:35,1,110
20243117,10,2024,Thursday,17:00,1,60
20242081,10,2024,Thursday,17:31,1,60
20243206,10,2024,Thursday,19:00,1,60
20248003,10,2024,Thursday,21:30,1,70
20244032,10,2024,Tuesday,0:18,1,110
20241153,10,2024,Tuesday,4:00,1,60
20242138,10,2024,Tuesday,5:15,1,100
20243198,10,2024,Tuesday,6:00,1,100
20242107,10,2024,Tuesday,14:30,1,40
20243080,10,2024,Tuesday,18:00,1,100
20242204,10,2024,Tuesday,18:15,1,80
20242139,10,2024,Tuesday,20:20,1,50
20241103,10,2024,Wednesday,13:45,1,80
20242129,10,2024,Wednesday,15:18,1,100
20244027,10,2024,Wednesday,15:34,1,80
20243006,10,2024,Wednesday,16:00,1,50
20243108,10,2024,Wednesday,17:00,1,100
20243212,10,2024,Wednesday,18:00,1,70
20241237,10,2024,Wednesday,18:45,1,50
20241052,10,2024,Wednesday,21:27,1,100
20241308,10,2024,Wednesday,23:30,1,50
20246027,9,2024,Friday,2:42,1,50
20244072,9,2024,Friday,8:00,1,50
20241195,9,2024,Friday,12:00,1,80
20244043,9,2024,Friday,12:18,1,50
20241102,9,2024,Friday,12:40,1,60
20243194,9,2024,Friday,14:00,1,60
20243070,9,2024,Friday,17:00,1,100
20243165,9,2024,Friday,18:00,1,80
20241063,9,2024,Friday,18:45,1,70
20241132,9,2024,Friday,20:18,1,60
20241292,9,2024,Friday,20:30,1,60
20241189,9,2024,Friday,21:00,1,100
20241233,9,2024,Friday,21:22,4,110
20242115,9,2024,Monday,10:09,1,100
20242167,9,2024,Monday,11:50,1,60
20241016,9,2024,Monday,13:30,1,100
20243234,9,2024,Monday,14:00,1,60
20246025,9,2024,Monday,14:00,1,80
20241220,9,2024,Monday,14:15,1,80
20241034,9,2024,Monday,17:30,1,50
20242012,9,2024,Monday,17:38,1,50
20243009,9,2024,Saturday,1:00,2,60
20241269,9,2024,Saturday,9:15,1,50
20242093,9,2024,Saturday,10:05,1,50
20242176,9,2024,Saturday,11:27,1,100
20242255,9,2024,Saturday,15:47,1,100
20241066,9,2024,Saturday,16:22,1,90
20242175,9,2024,Saturday,17:35,1,100
20243207,9,2024,Saturday,18:00,1,60
20242029,9,2024,Saturday,19:06,1,60
20241246,9,2024,Saturday,19:30,1,80
20241078,9,2024,Saturday,22:08,1,70
20243064,9,2024,Sunday,0:00,1,100
20241013,9,2024,Sunday,1:15,2,100
20246019,9,2024,Sunday,3:15,1,80
20242257,9,2024,Sunday,10:04,1,50
