state,remoteness,sa4_name,lga_name,road_type,speed_limit,location_id
QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road,100,78
VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Sub-arterial Road,70,79
VIC,Inner Regional Australia,Warrnambool and South West,Moyne,Arterial Road,100,80
VIC,Major Cities of Australia,Melbourne - South East,Cardinia,Collector Road,80,81
VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,Arterial Road,100,82
NSW,Inner Regional Australia,Richmond - Tweed,Ballina,Sub-arterial Road,60,83
NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Arterial Road,70,84
NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Local Road,50,85
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Local Road,50,86
VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Arterial Road,80,87
VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Arterial Road,100,88
QLD,Very Remote Australia,Queensland - Outback,Mareeba,Sub-arterial Road,100,89
VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Sub-arterial Road,60,90
NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road,80,91
QLD,Inner Regional Australia,Central Queensland,Rockhampton,Pedestrian Thoroughfare,10,92
NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,National or State Highway,100,93
QLD,Inner Regional Australia,Ipswich,Ipswich,Sub-arterial Road,100,94
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Arterial Road,100,95
VIC,Outer Regional Australia,Warrnambool and South West,Glenelg,National or State Highway,100,96
QLD,Inner Regional Australia,Wide Bay,Bundaberg,Collector Road,80,97
QLD,Outer Regional Australia,Cairns,Douglas,National or State Highway,80,98
QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Sub-arterial Road,100,99
SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Arterial Road,60,100
QLD,Major Cities of Australia,Brisbane - South,Brisbane,Local Road,60,101
NSW,Outer Regional Australia,Central West,Cabonne,Arterial Road,100,102
QLD,Major Cities of Australia,Gold Coast,Gold Coast,Collector Road,60,103
ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Arterial Road,80,104
VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Sub-arterial Road,80,105
NSW,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway,110,106
NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Local Road,50,107
TAS,Outer Regional Australia,Launceston and North East,Meander Valley,National or State Highway,110,108
NSW,Major Cities of Australia,Capital Region,Queanbeyan-Palerang,Local Road,50,109
NSW,Outer Regional Australia,Capital Region,Snowy Monaro,National or State Highway,80,110
QLD,Inner Regional Australia,Wide Bay,Bundaberg,National or State Highway,60,111
NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,90,112
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Local Road,80,113
NSW,Outer Regional Australia,Murray,Federation,National or State Highway,100,114
QLD,Inner Regional Australia,Toowoomba,Toowoomba,Local Road,80,115
QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Sub-arterial Road,40,116
NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Arterial Road,80,117
QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway,60,118
NSW,Inner Regional Australia,Central West,Cowra,Local Road,50,119
NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National or State Highway,110,120
NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Collector Road,50,121
QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Local Road,70,122
QLD,Inner Regional Australia,Wide Bay,Gympie,Local Road,50,123
NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Arterial Road,50,124
NSW,Inner Regional Australia,Capital Region,Shoalhaven,National or State Highway,100,125
NSW,Inner Regional Australia,Capital Region,Queanbeyan-Palerang,Arterial Road,100,126
VIC,Inner Regional Australia,Bendigo,Greater Bendigo,National or State Highway,80,127
VIC,Inner Regional Australia,Melbourne - North East,Nillumbik,Arterial Road,70,128
QLD,Inner Regional Australia,Central Queensland,Rockhampton,National or State Highway,100,129
NSW,Inner Regional Australia,Illawarra,Wollongong,Arterial Road,80,130
QLD,Inner Regional Australia,Wide Bay,South Burnett,Collector Road,100,131
SA,Remote Australia,South Australia - South East,Tatiara,National or State Highway,110,132
NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road,80,133
NSW,Outer Regional Australia,Mid North Coast,Mid-Coast,Sub-arterial Road,60,134
QLD,Major Cities of Australia,Ipswich,Ipswich,National or State Highway,100,135
VIC,Inner Regional Australia,North West,Ararat,National or State Highway,100,136
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Arterial Road,80,137
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Arterial Road,100,138
SA,Major Cities of Australia,Adelaide - North,Salisbury,Collector Road,50,139
QLD,Outer Regional Australia,Cairns,Cairns,National or State Highway,100,140
VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Arterial Road,80,141
QLD,Very Remote Australia,Queensland - Outback,McKinlay,Sub-arterial Road,100,142
NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,Local Road,50,143
QLD,Outer Regional Australia,Central Queensland,Gladstone,National or State Highway,100,144
NSW,Inner Regional Australia,Riverina,Wagga Wagga,Sub-arterial Road,50,145
NSW,Inner Regional Australia,Central West,Lithgow,National or State Highway,100,146
NSW,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway,100,147
NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),National or State Highway,110,148
VIC,Inner Regional Australia,Warrnambool and South West,Moyne,National or State Highway,100,149
