crash_id,sa4_name
20241132,Illawarra
20241292,Central Coast
20241189,Richmond - Tweed
20241233,Far West and Orana
20242115,Shepparton
20242167,Melbourne - North West
20241016,Riverina
20243234,Logan - Beaudesert
20246025,South East
20241220,Hunter Valley exc Newcastle
20241034,Riverina
20242012,Hume
20243009,Sunshine Coast
20241269,Hunter Valley exc Newcastle
20242093,Melbourne - Inner
20242176,Hume
20242255,Ballarat
20241066,Southern Highlands and Shoalhaven
20242175,Melbourne - South East
20243207,Central Queensland
20242029,Melbourne - Outer East
20241246,Murray
20241078,Richmond - Tweed
20243064,Wide Bay
20241013,New England and North West
20246019,South East
20242257,Mornington Peninsula
20241138,Sydney - South West
20244014,Adelaide - Central and Hills
20244069,South Australia - South East
20242053,Melbourne - Outer East
20243111,Mackay - Isaac - Whitsunday
20243067,Wide Bay
20242186,Melbourne - West
20242250,Mornington Peninsula
20243167,Townsville
20243106,Brisbane - South
20242098,Melbourne - Outer East
20241179,Mid North Coast
20242070,Melbourne - North East
20243261,Queensland - Outback
20243227,Darling Downs - Maranoa
20242243,Melbourne - Outer East
20242102,Melbourne - South East
20241109,Far West and Orana
20243187,Wide Bay
20241301,Sydney - Blacktown
20243135,Darling Downs - Maranoa
20241248,Sydney - Parramatta
20243268,Queensland - Outback
20242071,Melbourne - West
20241020,New England and North West
20241294,Richmond - Tweed
20241304,Richmond - Tweed
20242123,Melbourne - Outer East
20242144,Melbourne - Outer East
20241199,Sydney - Northern Beaches
20243066,Townsville
20243233,Central Queensland
20243203,Central Queensland
20242209,Shepparton
20242056,Melbourne - Outer East
20242130,Ballarat
20243109,Cairns
20243010,Queensland - Outback
20243181,Ipswich
20246018,Hobart
20241071,Sydney - Inner South West
20241186,Central West
20243078,Logan - Beaudesert
20241223,Illawarra
20241221,Hunter Valley exc Newcastle
20241143,Murray
20243242,Darling Downs - Maranoa
20242189,Melbourne - South East
20242170,Melbourne - Inner East
20243043,Sunshine Coast
20241140,Central West
20244063,South Australia - Outback
20241131,New England and North West
20242172,Melbourne - West
20241111,Hunter Valley exc Newcastle
20242055,Melbourne - North East
20241017,Sydney - Outer West and Blue Mountains
20244067,Adelaide - West
20246024,Launceston and North East
20241254,Mid North Coast
20243011,Ipswich
20246011,West and North West
20242177,Mornington Peninsula
20241127,New England and North West
20241210,New England and North West
20242132,Shepparton
20242184,Ballarat
20241253,Far West and Orana
20243024,Sunshine Coast
20242224,Melbourne - West
20243031,Gold Coast
20242069,Melbourne - North East
20243156,Ipswich
20242251,Geelong
20244034,Adelaide - Central and Hills
20242090,Melbourne - South East
20243231,Mackay - Isaac - Whitsunday
20242194,Hume
20243142,Wide Bay
20242043,Melbourne - West
20243124,Mackay - Isaac - Whitsunday
20244007,Adelaide - South
20242060,Melbourne - Inner South
20243104,Cairns
20244041,South Australia - Outback
20246026,Launceston and North East
20243021,Central Queensland
20242155,Hume
20242032,Melbourne - Inner
20241285,Sydney - Inner South West
20244066,Barossa - Yorke - Mid North
20242064,Melbourne - Inner
20242164,Melbourne - South East
20244035,South Australia - South East
20243018,Logan - Beaudesert
20242086,Mornington Peninsula
20243217,Cairns
20243251,Ipswich
20243058,Central Queensland
20244046,South Australia - South East
20243085,Central Queensland
20244039,Barossa - Yorke - Mid North
20243240,Mackay - Isaac - Whitsunday
20246002,West and North West
20242099,Shepparton
20243063,Logan - Beaudesert
20241176,Illawarra
20247022,Northern Territory - Outback
20241086,Newcastle and Lake Macquarie
20241224,Hunter Valley exc Newcastle
20241265,Sydney - Parramatta
20241202,New England and North West
20246023,Hobart
20241293,Central West
20241299,Central West
20244078,Adelaide - Central and Hills
20243164,Gold Coast
20242201,Latrobe - Gippsland
20241307,Central West
20242074,Geelong
20241243,New England and North West
20247034,Darwin
20241260,New England and North West
20243004,Townsville
20246014,Launceston and North East
20242024,North West
20243169,Logan - Beaudesert
20243081,Wide Bay
20242169,North West
20241110,Newcastle and Lake Macquarie
20241082,Sydney - North Sydney and Hornsby
20241159,Capital Region
20246022,Hobart
20241229,Southern Highlands and Shoalhaven
20242026,Bendigo
20242268,Latrobe - Gippsland
20242238,Warrnambool and South West
20242122,Melbourne - South East
20241046,Capital Region
20243192,Logan - Beaudesert
20241032,Murray
20241031,Far West and Orana
20243254,Sunshine Coast
20243133,Queensland - Outback
20241203,Central West
20243118,Brisbane - South
20243173,Mackay - Isaac - Whitsunday
20243199,Gold Coast
20244003,Adelaide - North
20241298,Coffs Harbour - Grafton
20242112,Shepparton
20243092,Wide Bay
20243042,Brisbane - North
20244005,South Australia - South East
20243178,Moreton Bay - South
20244050,South Australia - South East
20241208,Riverina
20242259,Warrnambool and South West
20242212,Melbourne - Inner
20243019,Toowoomba
20241036,Mid North Coast
20242226,Melbourne - North East
20247007,Darwin
20243074,Sunshine Coast
20241003,New England and North West
20241277,New England and North West
20241249,Southern Highlands and Shoalhaven
20242020,Melbourne - South East
20242108,Melbourne - Inner East
20243120,Wide Bay
20242187,Geelong
20243116,Cairns
20242133,Melbourne - West
20241092,Central Coast
20242121,Melbourne - North East
20243214,Darling Downs - Maranoa
20241118,New England and North West
20243157,Brisbane - South
20241190,Capital Region
20241097,Capital Region
20242265,Hume
20241250,Sydney - Northern Beaches
20242200,Warrnambool and South West
20242234,Shepparton
20242048,Melbourne - West
20242003,Shepparton
20243252,Moreton Bay - North
20243061,Darling Downs - Maranoa
20242162,Melbourne - North West
20244071,Adelaide - South
20241047,Sydney - Inner West
20241205,Hunter Valley exc Newcastle
20241024,Central Coast
20242096,Melbourne - South East
20242240,Melbourne - South East
20243139,Brisbane Inner City
20243075,Brisbane - South
20244051,Adelaide - North
20241070,Far West and Orana
20244079,South Australia - Outback
20243051,Darling Downs - Maranoa
20242237,Melbourne - Outer East
20243148,Central Queensland
20242157,Melbourne - Inner
20244022,South Australia - Outback
20241142,Hunter Valley exc Newcastle
20241124,Southern Highlands and Shoalhaven
20241010,Far West and Orana
20241252,Coffs Harbour - Grafton
20243155,Queensland - Outback
20243163,Central Queensland
20243269,Sunshine Coast
20243056,Queensland - Outback
20243049,Queensland - Outback
20243103,Brisbane Inner City
20242233,Melbourne - Inner South
20243014,Darling Downs - Maranoa
20241198,Sydney - Inner South West
20242249,Melbourne - Outer East
20243154,Mackay - Isaac - Whitsunday
20241100,Newcastle and Lake Macquarie
20241074,Richmond - Tweed
20243263,Darling Downs - Maranoa
20242016,Melbourne - West
20244017,South Australia - Outback
20244009,Adelaide - South
20242085,Melbourne - North East
20244012,South Australia - Outback
20243205,Logan - Beaudesert
20241035,Sydney - Blacktown
20241161,Sydney - Blacktown
20241062,Far West and Orana
20243119,Moreton Bay - North
20241155,Newcastle and Lake Macquarie
20243152,Gold Coast
20243053,Gold Coast
20241039,Sydney - Northern Beaches
20242154,North West
20243215,Brisbane - North
20243026,Gold Coast
20241050,Sydney - North Sydney and Hornsby
20243271,Central Queensland
20241133,Coffs Harbour - Grafton
20248008,Australian Capital Territory
20244037,Adelaide - Central and Hills
20242143,Melbourne - Inner
20241273,Newcastle and Lake Macquarie
20242067,Melbourne - South East
20242214,Hume
20243238,Townsville
20242011,Warrnambool and South West
20241180,Sydney - Parramatta
20241059,Sydney - Baulkham Hills and Hawkesbury
20241021,Sydney - South West
20242254,Melbourne - Inner South
20243256,Cairns
