time_id,period
7335,Christmas Period
7337,Christmas Period
7344,Christmas Period
7353,Christmas Period
7367,Christmas Period
7369,Christmas Period
7371,Christmas Period
7375,Christmas Period
7376,Christmas Period
7377,Christmas Period
7391,Christmas Period
7392,Christmas Period
7394,Christmas Period
7397,Christmas Period
7398,Christmas Period
7403,Christmas Period
7406,Christmas Period
7418,Christmas Period
7419,Christmas Period
7420,Christmas Period
7424,Christmas Period
7436,Christmas Period
7437,Christmas Period
7442,Christmas Period
7445,Christmas Period
7449,Christmas Period
7450,Christmas Period
7451,Christmas Period
7452,Christmas Period
7453,Christmas Period
7454,Christmas Period
7455,Christmas Period
7458,Christmas Period
7463,Christmas Period
7465,Christmas Period
7467,Christmas Period
7468,Christmas Period
7469,Christmas Period
7470,Christmas Period
7471,Christmas Period
8189,Easter Period
8192,Easter Period
8210,Easter Period
8211,Easter Period
8215,Easter Period
8220,Easter Period
8223,Easter Period
8226,Easter Period
8246,Easter Period
8247,Easter Period
8251,Easter Period
8252,Easter Period
8467,Christmas Period
8472,Christmas Period
8479,Christmas Period
8480,Christmas Period
8491,Christmas Period
8496,Christmas Period
8499,Christmas Period
8513,Christmas Period
8514,Christmas Period
8516,Christmas Period
8518,Christmas Period
8539,Christmas Period
8541,Christmas Period
8549,Christmas Period
8553,Christmas Period
8557,Christmas Period
8559,Christmas Period
8562,Christmas Period
8568,Christmas Period
8569,Christmas Period
8572,Christmas Period
8575,Christmas Period
8579,Christmas Period
8582,Christmas Period
8584,Christmas Period
8591,Christmas Period
8593,Christmas Period
8595,Christmas Period
9093,Easter Period
9099,Easter Period
9101,Easter Period
9103,Easter Period
9107,Easter Period
9133,Easter Period
9134,Easter Period
9206,Christmas Period
9229,Christmas Period
9239,Christmas Period
9241,Christmas Period
9242,Christmas Period
9245,Christmas Period
9267,Christmas Period
9272,Christmas Period
9276,Christmas Period
9284,Christmas Period
9285,Christmas Period
9286,Christmas Period
9287,Christmas Period
9295,Christmas Period
9296,Christmas Period
9303,Christmas Period
9306,Christmas Period
9313,Christmas Period
9314,Christmas Period
9315,Christmas Period
9319,Christmas Period
9320,Christmas Period
9321,Christmas Period
9322,Christmas Period
9323,Christmas Period
9330,Christmas Period
9334,Christmas Period
9338,Christmas Period
9339,Christmas Period
9340,Christmas Period
